Title,Note,URL,Tags,Comment
,,,,
Caffè il Momento,,https://www.google.com/maps/place/Caff%C3%A8+il+Momento/data=!4m2!3m1!1s0x47c609c42bba18ed:0xdff09457c0e14f5b,,
Tommy Page,,https://www.google.com/maps/place/Tommy+Page/data=!4m2!3m1!1s0x47c609cf62ae9ee9:0xd02456596c21263e,,
Tannay,,https://www.google.com/maps/place/Tannay/data=!4m2!3m1!1s0x47c609167d74e915:0xddd2da38644f2be6,,
Fou Fow Ramen,,https://www.google.com/maps/place/Fou+Fow+Ramen/data=!4m2!3m1!1s0x47c609c32c4a3f69:0xb42e2804268c5f17,,
cornerstore,,https://www.google.com/maps/place/cornerstore/data=!4m2!3m1!1s0x47c609673aa46761:0xe560d5f8ce97e43,,
Coulisse,,https://www.google.com/maps/place/Coulisse/data=!4m2!3m1!1s0x47c609deaf369e5f:0x56f0746f813d1a09,,
Choux,,https://www.google.com/maps/place/Choux/data=!4m2!3m1!1s0x47c609b065679657:0x7c6de4b843954886,,
Bar Parry,,https://www.google.com/maps/place/Bar+Parry/data=!4m2!3m1!1s0x47c609c4ad0729fd:0x44dbcae95fbd6fa,,
Balthazar's Keuken,,https://www.google.com/maps/place/Balthazar's+Keuken/data=!4m2!3m1!1s0x47c609dd190a5b29:0xaacf422bb5ccaf52,,
BAK restaurant,,https://www.google.com/maps/place/BAK+restaurant/data=!4m2!3m1!1s0x47c60832ed9fa25d:0x8ad0a7482f05e715,,
Restaurant Barracuda Amsterdam,,https://www.google.com/maps/place/Restaurant+Barracuda+Amsterdam/data=!4m2!3m1!1s0x47c6097b0d2cbb31:0xc7c917fc9a501c78,,
levain et le vin,,https://www.google.com/maps/place/levain+et+le+vin/data=!4m2!3m1!1s0x47c5e34426666bad:0x54b9dc42d837ff31,,
Trees Rest. & Bar,,https://www.google.com/maps/place/Trees+Rest.+%26+Bar/data=!4m2!3m1!1s0x47c609d824884be1:0x74010e0448f19b2e,,
W Lounge,,https://www.google.com/maps/place/W+Lounge/data=!4m2!3m1!1s0x47c609c6a53320f7:0x78bbadceb8e8d969,,
A'DAM Lookout,,https://www.google.com/maps/place/A'DAM+Lookout/data=!4m2!3m1!1s0x47c609b440714bbb:0xa6175c28f97a0af6,,
Soho House Amsterdam,,https://www.google.com/maps/place/Soho+House+Amsterdam/data=!4m2!3m1!1s0x47c6095bc2824c97:0xe03b3c5d4069548f,,
Bar Exit,,https://www.google.com/maps/place/Bar+Exit/data=!4m2!3m1!1s0x47c609ea87caa843:0x640e8b5346d6468b,,
Café 't Mandje,,https://www.google.com/maps/place/Caf%C3%A9+'t+Mandje/data=!4m2!3m1!1s0x47c609b998a89e03:0x268c2fdcfe8fd910,,
Sauna Deco,,https://www.google.com/maps/place/Sauna+Deco/data=!4m2!3m1!1s0x47c609c60ab143cb:0x9ad613caafb046e5,,
Admiraal Heijn,,https://www.google.com/maps/place/Admiraal+Heijn/data=!4m2!3m1!1s0x47c6091e2443ed7d:0x5851129f29534c0e,,
Sloepdelen Amsterdam,,https://www.google.com/maps/place/Sloepdelen+Amsterdam/data=!4m2!3m1!1s0x47c609c3be8d37d7:0xfdb995ca0e4c5e6c,,
Hotel V Nesplein,,https://www.google.com/maps/place/Hotel+V+Nesplein/data=!4m2!3m1!1s0x47c609c0bf77a0c5:0xc4e5dfb335c2305c,,
Pulitzer Amsterdam,,https://www.google.com/maps/place/Pulitzer+Amsterdam/data=!4m2!3m1!1s0x47c609c3620e8f0d:0x5434137a1c8aa636,,
Hiding In Plain Sight,,https://www.google.com/maps/place/Hiding+In+Plain+Sight/data=!4m2!3m1!1s0x47c609bb59a2c565:0x5722f710655abf9a,,
Cafe Gollem Raamsteeg,,https://www.google.com/maps/place/Cafe+Gollem+Raamsteeg/data=!4m2!3m1!1s0x47c609c17cd823cd:0x38a99180153245f9,,
Proeflokaal Arendsnest,,https://www.google.com/maps/place/Proeflokaal+Arendsnest/data=!4m2!3m1!1s0x47c609c5e394f6c7:0x782e79a7c72de1c4,,
De Wildeman,,https://www.google.com/maps/place/De+Wildeman/data=!4m2!3m1!1s0x47c5efe65842a127:0x7bccc47709b1c4a8,,
Café De Dokter,,https://www.google.com/maps/place/Caf%C3%A9+De+Dokter/data=!4m2!3m1!1s0x47c609c1a61938e1:0x9826be5d9a47a01,,
Bakers & Roasters,,https://www.google.com/maps/place/Bakers+%26+Roasters/data=!4m2!3m1!1s0x47c609a39a092fe1:0x91ee4a68f52686eb,,
De Kas,,https://www.google.com/maps/place/De+Kas/data=!4m2!3m1!1s0x47c6097addb6e427:0x7e1fa069538dc40e,,
Brothers Hartering,,https://www.google.com/maps/place/Brothers+Hartering/data=!4m2!3m1!1s0x47c609bb59ea7211:0x90d34c086fa337a1,,
Rijsel,,https://www.google.com/maps/place/Rijsel/data=!4m2!3m1!1s0x47c6098391788705:0x8d4918f4f861b049,,
Peperstraat 7,,https://www.google.com/maps/place/Peperstraat+7/data=!4m2!3m1!1s0x47c609bb518f9bb1:0x1bf91c2003f7e241,,
Domenica,,https://www.google.com/maps/place/Domenica/data=!4m2!3m1!1s0x47c609cf4ab4dbe9:0x12f14b79cdf0239b,,
Raïnaraï,,https://www.google.com/maps/place/Ra%C3%AFnara%C3%AF/data=!4m2!3m1!1s0x47c609c3518727b7:0xc0ee2203d896e75c,,
Baba Coffeeshop,,https://www.google.com/maps/place/Baba+Coffeeshop/data=!4m2!3m1!1s0x47c60832c510d8f5:0x6289c3f2f97da4c,,
NO LABEL Amsterdam,,https://www.google.com/maps/place/NO+LABEL+Amsterdam/data=!4m2!3m1!1s0x47c609e4ced98e37:0x6abab67e89bfb7e8,,
X BANK Amsterdam,,https://www.google.com/maps/place/X+BANK+Amsterdam/data=!4m2!3m1!1s0x47c609c6a9552aab:0x441a2d1aa723ed3,,
Kanarie Club,,https://www.google.com/maps/place/Kanarie+Club/data=!4m2!3m1!1s0x47c5e20aa99b4025:0x6109c8af1c1d3f5c,,
Deus Ex Machina Restaurant The Wat of Why,,https://www.google.com/maps/place/Deus+Ex+Machina+Restaurant+The+Wat+of+Why/data=!4m2!3m1!1s0x47c609245c83045f:0xcbdcc895915921c,,
Little Collins De Pijp,,https://www.google.com/maps/place/Little+Collins+De+Pijp/data=!4m2!3m1!1s0x47c6098df5e51337:0x9ab7a48b907a7189,,
Worst Wijncafé,,https://www.google.com/maps/place/Worst+Wijncaf%C3%A9/data=!4m2!3m1!1s0x47c60832cfdfe731:0xebea8fb55190b584,,
Haesje Claes,,https://www.google.com/maps/place/Haesje+Claes/data=!4m2!3m1!1s0x47c5e178890a7d1d:0x7c98b06bc51a6427,,
Coffeeshop Amsterdam,,https://www.google.com/maps/place/Coffeeshop+Amsterdam/data=!4m2!3m1!1s0x47c609c8fd633f4f:0xfc30cf4518c6641e,,
Tales & Spirits,,https://www.google.com/maps/place/Tales+%26+Spirits/data=!4m2!3m1!1s0x47c609c6478928af:0xcc8e63a3b985e28a,,
Café De Klepel,,https://www.google.com/maps/place/Caf%C3%A9+De+Klepel/data=!4m2!3m1!1s0x47c609cf7efc2adb:0xbdb3fdd267ed1bdb,,
"Amsterdam, NDSM",,"https://www.google.com/maps/place/Amsterdam,+NDSM/data=!4m2!3m1!1s0x47c6083a4f119b0d:0xfbb0ca97218fd7f4",,
Toki,,https://www.google.com/maps/place/Toki/data=!4m2!3m1!1s0x47c609ce0bb2caf3:0x40a6dc408f69d04,,
4850,,https://www.google.com/maps/place/4850/data=!4m2!3m1!1s0x47c6099c873ba7cb:0xd9ed0fe173c1f6ac,,
Scheltema,,https://www.google.com/maps/place/Scheltema/data=!4m2!3m1!1s0x47c609c1fdf0c2a9:0x9a25eeb919d0a0b4,,
Athenaeum Boekhandel,,https://www.google.com/maps/place/Athenaeum+Boekhandel/data=!4m2!3m1!1s0x47c609c18f701e3f:0x517304dca5ae8585,,
The American Book Center,,https://www.google.com/maps/place/The+American+Book+Center/data=!4m2!3m1!1s0x47c609c190b40505:0xb80a1fc12b10b8ce,,
Café Chris,,https://www.google.com/maps/place/Caf%C3%A9+Chris/data=!4m2!3m1!1s0x47c609db398ac5a7:0xad4f1db967b1bf54,,
Watertorenplein 6,,https://www.google.com/maps/place/Watertorenplein+6/data=!4m2!3m1!1s0x47c5e27f2c32264b:0x5d447c3c01bc199d,,
Klaprozenweg 130,,https://www.google.com/maps/place/Klaprozenweg+130/data=!4m2!3m1!1s0x47c608476337890b:0xb3d1171945b15f53,,
Silodam 240,,https://www.google.com/maps/place/Silodam+240/data=!4m2!3m1!1s0x47c608339eb40cdb:0x3538ca88edbf4f8b,,
