Title,Note,URL,Tags,Comment
,,,,
Cellar Door Provisions,,https://www.google.com/maps/place/Cellar+Door+Provisions/data=!4m2!3m1!1s0x880fcd795d0a9cab:0x36270665b8cf323e,,
Monarch Wine Merchants,,https://www.google.com/maps/place/Monarch+Wine+Merchants/data=!4m2!3m1!1s0x88fe7a58494843bd:0xc916110fb456fdbf,,
The Obstinate Daughter,,https://www.google.com/maps/place/The+Obstinate+Daughter/data=!4m2!3m1!1s0x88fe71518a4bebc9:0x6dfdc7953255a971,,
Home Team BBQ,,https://www.google.com/maps/place/Home+Team+BBQ/data=!4m2!3m1!1s0x88fe7b001c251941:0xeccdeedc4f5fcda7,,
Xiao Bao Biscuit,,https://www.google.com/maps/place/Xiao+Bao+Biscuit/data=!4m2!3m1!1s0x88fe7a4134e87a2f:0x72fee76aa46b6cb8,,
Dragon Palace Chinese Bistro,,https://www.google.com/maps/place/Dragon+Palace+Chinese+Bistro/data=!4m2!3m1!1s0x88fe6fef232c8e37:0x45e4b130aa4728dd,,
Old Li‘s Restaurant,,https://www.google.com/maps/place/Old+Li%E2%80%98s+Restaurant/data=!4m2!3m1!1s0x88fe7d4b52f019eb:0xd675917b802aba05,,
XO Brasserie,,https://www.google.com/maps/place/XO+Brasserie/data=!4m2!3m1!1s0x88fe7bc0b333bd3b:0x54ee99b8a0139122,,
Chez Nous,,https://www.google.com/maps/place/Chez+Nous/data=!4m2!3m1!1s0x88fe7a418a87c91b:0x3f9d952cc056dc69,,
Mc Kevlin's Surf Shop,,https://www.google.com/maps/place/Mc+Kevlin's+Surf+Shop/data=!4m2!3m1!1s0x88fdd7ea686656a1:0x88512abe0d9f2e07,,
219 Ashley Ave,,https://www.google.com/maps/place/219+Ashley+Ave/data=!4m2!3m1!1s0x88fe7a47231a938b:0x7fb98669d76f891c,,
Pineapple Fountain,,https://www.google.com/maps/place/Pineapple+Fountain/data=!4m2!3m1!1s0x88fe7a0eb6cf563f:0xb1d910c978863505,,
Gibbes Museum of Art,,https://www.google.com/maps/place/Gibbes+Museum+of+Art/data=!4m2!3m1!1s0x88fe7a11eb2b7cb1:0x2faf969a3f20c8a3,,
Sullivan's Fish Camp,,https://www.google.com/maps/place/Sullivan's+Fish+Camp/data=!4m2!3m1!1s0x88fe710abcb2b049:0x73df0119579439b9,,
BKeDSHoP,,https://www.google.com/maps/place/BKeDSHoP/data=!4m2!3m1!1s0x88fe7b1408948e7d:0x4bfa61a013c59139,,
Prophet Coffee,,https://www.google.com/maps/place/Prophet+Coffee/data=!4m2!3m1!1s0x88fe6502a07a0f21:0xa8c57784760318be,,
blūm coffee & wine bar,,https://www.google.com/maps/place/bl%C5%ABm+coffee+%26+wine+bar/data=!4m2!3m1!1s0x88fe7b74f98b8169:0xf8bce5906262af2f,,
"Kudu - Coffee, Craft Beer & Wine",,"https://www.google.com/maps/place/Kudu+-+Coffee,+Craft+Beer+%26+Wine/data=!4m2!3m1!1s0x88fe7a6b155bf445:0x2d03b2598c9dfe2",,
Sightsee Shop,,https://www.google.com/maps/place/Sightsee+Shop/data=!4m2!3m1!1s0x88fe7b6341a8c2db:0x1c7eb33a1ffc23cd,,
Second State Coffee,,https://www.google.com/maps/place/Second+State+Coffee/data=!4m2!3m1!1s0x88fe7a169ec52d29:0x450cae14bbf6cc01,,
Charleston City Market,,https://www.google.com/maps/place/Charleston+City+Market/data=!4m2!3m1!1s0x88fe7a1211451c97:0xaefd6e030a254b2d,,
Oyster House Seafood & O-Bar,,https://www.google.com/maps/place/Oyster+House+Seafood+%26+O-Bar/data=!4m2!3m1!1s0x88fe7a0db63c1dfd:0xde89fc735ef4d3e2,,
Kermit's Key Lime Pie Shop - Charleston,,https://www.google.com/maps/place/Kermit's+Key+Lime+Pie+Shop+-+Charleston/data=!4m2!3m1!1s0x88fe7b73c9bef07d:0xafea2b3cc2a2ccb3,,
WELTONS TINY BAKESHOP,,https://www.google.com/maps/place/WELTONS+TINY+BAKESHOP/data=!4m2!3m1!1s0x88fe7b009cbee835:0x9d90cb77a19a589f,,
Blind Tiger Pub,,https://www.google.com/maps/place/Blind+Tiger+Pub/data=!4m2!3m1!1s0x88fe7a0e4bed2b49:0xdde50b37b5956ec6,,
Frannie & The Fox,,https://www.google.com/maps/place/Frannie+%26+The+Fox/data=!4m2!3m1!1s0x88fe7b3a8351eb39:0x5b1a6dabc76ce2fd,,
Edmund's Original (Formerly Edmund's Oast),,https://www.google.com/maps/place/Edmund's+Original+(Formerly+Edmund's+Oast)/data=!4m2!3m1!1s0x88fe7af60e2cc607:0xf972d98ac9a9dfd2,,
Lewis Barbecue Charleston,,https://www.google.com/maps/place/Lewis+Barbecue+Charleston/data=!4m2!3m1!1s0x88fe7a5f57f65a4b:0x9a600c858a0df971,,
Rodney Scott's BBQ,,https://www.google.com/maps/place/Rodney+Scott's+BBQ/data=!4m2!3m1!1s0x88fe7a5a21e429f9:0x65e6676ca46c72fe,,
King BBQ,,https://www.google.com/maps/place/King+BBQ/data=!4m2!3m1!1s0x88fe7b3ad217786f:0xc057725408ba8832,,
Poogan's Smokehouse,,https://www.google.com/maps/place/Poogan's+Smokehouse/data=!4m2!3m1!1s0x88fe7a42dca65311:0x83ee7f95bc618901,,
Swig & Swine,,https://www.google.com/maps/place/Swig+%26+Swine/data=!4m2!3m1!1s0x88fe7bee1c49ba95:0x5a21e4aa8e4e396a,,
Palmira Barbecue,,https://www.google.com/maps/place/Palmira+Barbecue/data=!4m2!3m1!1s0x88fe7b8b63d4cabd:0xfd2db5db6b5a0af8,,
Marbled & Fin,,https://www.google.com/maps/place/Marbled+%26+Fin/data=!4m2!3m1!1s0x88fe7b005d66cad1:0x5d3999542980ec78,,
Last Saint,,https://www.google.com/maps/place/Last+Saint/data=!4m2!3m1!1s0x88fe7b7cd0024089:0x3051013b42578747,,
Baguette Magic Folly Rd,,https://www.google.com/maps/place/Baguette+Magic+Folly+Rd/data=!4m2!3m1!1s0x88fe790a55321671:0xf0e58e4e3d44d7cd,,
Turbo Cone,,https://www.google.com/maps/place/Turbo+Cone/data=!4m2!3m1!1s0x88fe7bdc2fcb971b:0x31bbf3df4233b1d7,,
