Title,Note,URL,Tags,Comment
,,,,
Schneider Deli,,https://www.google.com/maps/place/Schneider+Deli/data=!4m2!3m1!1s0x880e2dbd79aec64d:0x52d630889601de69,,
Farm Bar Lakeview,,https://www.google.com/maps/place/Farm+Bar+Lakeview/data=!4m2!3m1!1s0x880fd25591a8bf91:0xa11b0149c3046210,,
Robert's Pizza and Dough Company,,https://www.google.com/maps/place/Robert's+Pizza+and+Dough+Company/data=!4m2!3m1!1s0x880e2b55819558bd:0x35ce03b4472e107c,,
Frank Lloyd Wright Home & Studio,,https://www.google.com/maps/place/Frank+Lloyd+Wright+Home+%26+Studio/data=!4m2!3m1!1s0x880e34cbe7e7eedf:0x801145256f09ed8d,,
Pizza Dada,,https://www.google.com/maps/place/Pizza+Dada/data=!4m2!3m1!1s0x880e2d44c6beb151:0x58780e6dc58bc6c7,,
Sila's mediterranean Restaurant,,https://www.google.com/maps/place/Sila's+mediterranean+Restaurant/data=!4m2!3m1!1s0x880fd3677156b143:0xed1161a698ab1516,,
Nine Bar,,https://www.google.com/maps/place/Nine+Bar/data=!4m2!3m1!1s0x880e2defd7b1fdcb:0xf0ea48678aa48c00,,
Hing Kee,,https://www.google.com/maps/place/Hing+Kee/data=!4m2!3m1!1s0x880e2c6188ca3e81:0x738d95e974ee08a6,,
MCCB Chicago,,https://www.google.com/maps/place/MCCB+Chicago/data=!4m2!3m1!1s0x880e2c6188e5fdfb:0x7149f0da6d638e7,,
Ken Kee Restaurant Hong Kong,,https://www.google.com/maps/place/Ken+Kee+Restaurant+Hong+Kong/data=!4m2!3m1!1s0x880e2c621f8f83b1:0xb8eeb73f92843d4d,,
Szechuan Bistro 炳哥川菜,,https://www.google.com/maps/place/Szechuan+Bistro+%E7%82%B3%E5%93%A5%E5%B7%9D%E8%8F%9C/data=!4m2!3m1!1s0x880e2dd9a1ed5755:0xd33454d0a2136d45,,
Qing Xiang Yuan Dumplings,,https://www.google.com/maps/place/Qing+Xiang+Yuan+Dumplings/data=!4m2!3m1!1s0x880e2c62728ba531:0xb4910a50edbcdfed,,
D Cuisine,,https://www.google.com/maps/place/D+Cuisine/data=!4m2!3m1!1s0x880fd3d0fe9ec503:0x7a7fb5027c23bebd,,
Alla Vita,,https://www.google.com/maps/place/Alla+Vita/data=!4m2!3m1!1s0x880e2d33f7154011:0x91f439dc71bab925,,
Girl & The Goat,,https://www.google.com/maps/place/Girl+%26+The+Goat/data=!4m2!3m1!1s0x880e2cc5369bc9b3:0x912bc8bff9607a52,,
Aba,,https://www.google.com/maps/place/Aba/data=!4m2!3m1!1s0x880e2d34c6ee2f1f:0x7fcee2c881c30612,,
Harry Caray's Italian Steakhouse,,https://www.google.com/maps/place/Harry+Caray's+Italian+Steakhouse/data=!4m2!3m1!1s0x880e2cb1c274dcd7:0x189aaa99eb13f4fc,,
Vito & Nick's Pizzeria,,https://www.google.com/maps/place/Vito+%26+Nick's+Pizzeria/data=!4m2!3m1!1s0x880e3075e9ab4069:0x47839c8ad63e0ce6,,
Pat's Pizza & Ristorante,,https://www.google.com/maps/place/Pat's+Pizza+%26+Ristorante/data=!4m2!3m1!1s0x880fd301822ae81b:0xdde35191243a6b5f,,
Side Street Saloon,,https://www.google.com/maps/place/Side+Street+Saloon/data=!4m2!3m1!1s0x880fd2f85dbcdb51:0xc4f6f88ced9de5dd,,
Pequod's Pizza,,https://www.google.com/maps/place/Pequod's+Pizza/data=!4m2!3m1!1s0x880fd2e43edcab43:0xfa179f0b298abc4d,,
Pequod's Pizza,,https://www.google.com/maps/place/Pequod's+Pizza/data=!4m2!3m1!1s0x880fc8c9c6a57d23:0x16aeddd8b2ef5236,,
The Art of Pizza,,https://www.google.com/maps/place/The+Art+of+Pizza/data=!4m2!3m1!1s0x880fd2582258fdaf:0xfe1bcebd39382ced,,
Art of Pizza on State Street,,https://www.google.com/maps/place/Art+of+Pizza+on+State+Street/data=!4m2!3m1!1s0x880e2c99b7ddb1ad:0x52f90fa6e472477e,,
Pizzeria Portofino,,https://www.google.com/maps/place/Pizzeria+Portofino/data=!4m2!3m1!1s0x880e2dde9df8be17:0x928fb27a44daf858,,
The Public Barber,,https://www.google.com/maps/place/The+Public+Barber/data=!4m2!3m1!1s0x880fd231fe3fba97:0x72bd72ce2c370ab7,,
Cherry Circle Room,,https://www.google.com/maps/place/Cherry+Circle+Room/data=!4m2!3m1!1s0x880e2ca4404ea699:0xf369c7ca611b4de,,
Dove's Luncheonette,,https://www.google.com/maps/place/Dove's+Luncheonette/data=!4m2!3m1!1s0x880fd2c767c5ea0d:0x15f2cedb30dc8ba2,,
Spacca Napoli Pizzeria,,https://www.google.com/maps/place/Spacca+Napoli+Pizzeria/data=!4m2!3m1!1s0x880fd23c62bae51f:0xa9b51bf34d5e3b06,,
