Title,Note,URL,Tags,Comment
,,,,
Hotel Sanders,,https://www.google.com/maps/place/Hotel+Sanders/data=!4m2!3m1!1s0x4652533d63b8d8f5:0x9c7667b2d8d8aa4a,,
Ruby,,https://www.google.com/maps/place/Ruby/data=!4m2!3m1!1s0x4652531145a4d87d:0xc5eb75572ba9a10d,,
Relæ Holding ApS,,https://www.google.com/maps/place/Rel%C3%A6+Holding+ApS/data=!4m2!3m1!1s0x465253b27935a389:0xe0bf1e6ea22462d,,
Bæst,,https://www.google.com/maps/place/B%C3%A6st/data=!4m2!3m1!1s0x4652539fdf087b7d:0x2d53b8ea6d057d5e,,
Barabba,,https://www.google.com/maps/place/Barabba/data=!4m2!3m1!1s0x465253185b416dd9:0x27c5b281a568f474,,
Restaurant & Værtshus Sankt Peder,,https://www.google.com/maps/place/Restaurant+%26+V%C3%A6rtshus+Sankt+Peder/data=!4m2!3m1!1s0x4652527db8dde0fb:0x20f676f5b6d55f66,,
Manfreds,,https://www.google.com/maps/place/Manfreds/data=!4m2!3m1!1s0x465253b27e6ef573:0x4bac6cb9b3a13502,,
GoBoat Boat Rental - Islands Brygge,,https://www.google.com/maps/place/GoBoat+Boat+Rental+-+Islands+Brygge/data=!4m2!3m1!1s0x4652536ae6e1bc2b:0x26e214a5249948f2,,
Nobis Hotel Copenhagen,,https://www.google.com/maps/place/Nobis+Hotel+Copenhagen/data=!4m2!3m1!1s0x465253131235767d:0x99518cc5dfcd94f4,,
Atelier September,,https://www.google.com/maps/place/Atelier+September/data=!4m2!3m1!1s0x46525319c09c8cb3:0xbbe45b15a6fc4c20,,
Restaurant Barr,,https://www.google.com/maps/place/Restaurant+Barr/data=!4m2!3m1!1s0x4652533b679080a5:0xf1bebc75960e646f,,
"Bibliotek for arkitektur, design, konservering & scenekunst",,"https://www.google.com/maps/place/Bibliotek+for+arkitektur,+design,+konservering+%26+scenekunst/data=!4m2!3m1!1s0x465252e58e465e45:0xa0aa2d9db7e1f909",,
Restaurant Kanalen,,https://www.google.com/maps/place/Restaurant+Kanalen/data=!4m2!3m1!1s0x4652533c6d5dc32f:0xc7659b52ebdabaf9,,
Amass Restaurant,,https://www.google.com/maps/place/Amass+Restaurant/data=!4m2!3m1!1s0x465252d7ecd287eb:0xb1107995e1460e04,,
