Title,Note,URL,Tags,Comment
,,,,
Tlecan Mezcalería,,https://www.google.com/maps/place/Tlecan+Mezcaler%C3%ADa/data=!4m2!3m1!1s0x85d1ffe5a86abb45:0xcbd95d5610104c26,,
Aleli,,https://www.google.com/maps/place/Aleli/data=!4m2!3m1!1s0x85d1ff487bbfafed:0x2b0b204de293fcec,,
Le Tachinomi Desu,,https://www.google.com/maps/place/Le+Tachinomi+Desu/data=!4m2!3m1!1s0x85d1ff4aec23a511:0x282bd999a031aec,,
Local 1,,https://www.google.com/maps/place/Local+1/data=!4m2!3m1!1s0x85d1ff917784b95d:0xb2e0dd04d9893a3d,,
Escorpio,,https://www.google.com/maps/place/Escorpio/data=!4m2!3m1!1s0x85d1ff409f6533f7:0x286ab5a35849c30e,,
Polpo,,https://www.google.com/maps/place/Polpo/data=!4m2!3m1!1s0x85d1ffe48d150c3d:0x1bed8e4df2fec49e,,
Panadería Rosetta,,https://www.google.com/maps/place/Panader%C3%ADa+Rosetta/data=!4m2!3m1!1s0x85d1ff3a738df1fb:0xc83c192f6107982c,,
Mari Gold,,https://www.google.com/maps/place/Mari+Gold/data=!4m2!3m1!1s0x85d1ff02fd49f09d:0xa73cf59a19783eeb,,
Loup Bar,,https://www.google.com/maps/place/Loup+Bar/data=!4m2!3m1!1s0x85d1ff375d1a5931:0x4c5472ba1b9ea02e,,
Hotel CondesaDF,,https://www.google.com/maps/place/Hotel+CondesaDF/data=!4m2!3m1!1s0x85d1fef8b0f24013:0x4be22117df194629,,
Churrería El Moro,,https://www.google.com/maps/place/Churrer%C3%ADa+El+Moro/data=!4m2!3m1!1s0x85d1ff253f25fedd:0x99d51a4869fab2b4,,
Los Cocuyos,,https://www.google.com/maps/place/Los+Cocuyos/data=!4m2!3m1!1s0x85d1fed374995bb3:0xc300b131092e11ef,,
Biblioteca Vasconcelos,,https://www.google.com/maps/place/Biblioteca+Vasconcelos/data=!4m2!3m1!1s0x85d1f8d97f5adfe9:0xab381ade506b433d,,
National Museum of Cartography,,https://www.google.com/maps/place/National+Museum+of+Cartography/data=!4m2!3m1!1s0x85d201dfbaa3098d:0x87f7a49151447ce6,,
Almanegra Café,,https://www.google.com/maps/place/Almanegra+Cafe%CC%81/data=!4m2!3m1!1s0x85d1ff3a8a5fd015:0x36ee96cb98b82414,,
Lardo,,https://www.google.com/maps/place/Lardo/data=!4m2!3m1!1s0x85d1ff45bd47fe73:0x4528d0b3c4abd2b8,,
Contramar,,https://www.google.com/maps/place/Contramar/data=!4m2!3m1!1s0x85d1ff2fbf2f3f7b:0xe8a4468e5f14a3f,,
Av. José Clemente Orozco,,https://www.google.com/maps/place/Av.+Jos%C3%A9+Clemente+Orozco/data=!4m2!3m1!1s0x85ce0246a753e625:0x547b3bf91b428ed4,,
Museo Dolores Olmedo,,https://www.google.com/maps/place/Museo+Dolores+Olmedo/data=!4m2!3m1!1s0x85ce013e53bd71a1:0x6c3ea04a91971e52,,
Diego Rivera Mural Museum,,https://www.google.com/maps/place/Diego+Rivera+Mural+Museum/data=!4m2!3m1!1s0x85d1f8d598956563:0x64bc4f5db5cfdd78,,
Galería OMR,,https://www.google.com/maps/place/Galer%C3%ADa+OMR/data=!4m2!3m1!1s0x85d1ff9508169e55:0x90641d0ed5b90871,,
"Footwear Museum ""The Borcegui""",,https://www.google.com/maps/place/Footwear+Museum+%22The+Borcegui%22/data=!4m2!3m1!1s0x85d1fed334c89f5f:0x92476e9903b63cf2,,
