Title,Note,URL,Tags,Comment
,,,,
Jeannot's Patisserie & Bistro,,https://www.google.com/maps/place/Jeannot's+Patisserie+%26+Bistro/data=!4m2!3m1!1s0x876bf37fa1e88965:0x505b3de832681c0e,,
Dozens,,https://www.google.com/maps/place/Dozens/data=!4m2!3m1!1s0x876c7f2b58d618f1:0x7c841acb3a954aa5,,
With Others,,https://www.google.com/maps/place/With+Others/data=!4m2!3m1!1s0x89c259465424283f:0xc061d1dc03d60c29,,
Restaurant Olivia,,https://www.google.com/maps/place/Restaurant+Olivia/data=!4m2!3m1!1s0x876c7eef92747f85:0xa8bf5a04553a1174,,
Frasca Food and Wine,,https://www.google.com/maps/place/Frasca+Food+and+Wine/data=!4m2!3m1!1s0x876bec297c2068df:0x7685f633d80ee97a,,
BRUTO,,https://www.google.com/maps/place/BRUTO/data=!4m2!3m1!1s0x876c79fc32f3b369:0x14d74c7831931fb9,,
Beckon,,https://www.google.com/maps/place/Beckon/data=!4m2!3m1!1s0x876c7932d050ff43:0xe656215bba08306c,,
Fish N Beer,,https://www.google.com/maps/place/Fish+N+Beer/data=!4m2!3m1!1s0x876c791a77fc867f:0x15ef1071d0d1254a,,
Potager,,https://www.google.com/maps/place/Potager/data=!4m2!3m1!1s0x876c7ed1ece70a49:0x61fe2ac531185b5b,,
Bistro Vendôme,,https://www.google.com/maps/place/Bistro+Vend%C3%B4me/data=!4m2!3m1!1s0x876c78c56dfcf999:0x2682af187d4e358e,,
Chez Maggy,,https://www.google.com/maps/place/Chez+Maggy/data=!4m2!3m1!1s0x876c796268a6de4b:0x94e3182390351225,,
Brasserie Brixton,,https://www.google.com/maps/place/Brasserie+Brixton/data=!4m2!3m1!1s0x876c792b86608f47:0x556bfc8c4068533,,
Denver Wine Merchant,,https://www.google.com/maps/place/Denver+Wine+Merchant/data=!4m2!3m1!1s0x876c7999f4cd9a55:0x63d3c13bc5f5b7da,,
Mr B's Wine & Spirits Downtown Denver,,https://www.google.com/maps/place/Mr+B's+Wine+%26+Spirits+Downtown+Denver/data=!4m2!3m1!1s0x876c78dc2ac669b1:0x66cb802542b05cfa,,
Joy Wine & Spirits,,https://www.google.com/maps/place/Joy+Wine+%26+Spirits/data=!4m2!3m1!1s0x876c7ec483c4f5a5:0x2ac5e0de16f0bc46,,
Revival Denver Public House,,https://www.google.com/maps/place/Revival+Denver+Public+House/data=!4m2!3m1!1s0x876c7930c0effe75:0x77c98197a2eaa650,,
"Life House, Lower Highlands",,"https://www.google.com/maps/place/Life+House,+Lower+Highlands/data=!4m2!3m1!1s0x876c790e3cbe3f83:0xff30af6613337bf0",,
Osteria Marco,,https://www.google.com/maps/place/Osteria+Marco/data=!4m2!3m1!1s0x876c78c5150cb91b:0x7bd31b04293b3006,,
Run For The Roses,,https://www.google.com/maps/place/Run+For+The+Roses/data=!4m2!3m1!1s0x876c7919445714e9:0x89ca7d3872d1bb49,,
Dio Mio,,https://www.google.com/maps/place/Dio+Mio/data=!4m2!3m1!1s0x876c791a2aaf8223:0x66c96579bfa3355b,,
My Brother's Bar,,https://www.google.com/maps/place/My+Brother's+Bar/data=!4m2!3m1!1s0x876c78954e795687:0x3a879a23ac941b00,,
Hello Darling,,https://www.google.com/maps/place/Hello+Darling/data=!4m2!3m1!1s0x876c7933dac7939b:0x478c9782876a70e0,,
"The Slate Denver, Tapestry Collection by Hilton",,"https://www.google.com/maps/place/The+Slate+Denver,+Tapestry+Collection+by+Hilton/data=!4m2!3m1!1s0x876c79bc12757f1f:0xde80e4060bac1d62",,
La Bouche,,https://www.google.com/maps/place/La+Bouche/data=!4m2!3m1!1s0x876c798727425fb1:0xe7b823cd016bfe46,,
Safta,,https://www.google.com/maps/place/Safta/data=!4m2!3m1!1s0x876c79783c07eec7:0xe03cae9757cf760b,,
The Wolf's Tailor,,https://www.google.com/maps/place/The+Wolf's+Tailor/data=!4m2!3m1!1s0x876c788b1d719981:0x21e4232c870a4a6d,,
Noisette Restaurant & Bakery,,https://www.google.com/maps/place/Noisette+Restaurant+%26+Bakery/data=!4m2!3m1!1s0x876c79b675a4dfdf:0xeb4713c374b7d8ef,,
Annette,,https://www.google.com/maps/place/Annette/data=!4m2!3m1!1s0x876c7b627daaaaab:0x660d17c6b4bf64b7,,
Hey Kiddo,,https://www.google.com/maps/place/Hey+Kiddo/data=!4m2!3m1!1s0x876b879985757cb5:0x9a128e2eab296840,,
Noble Riot,,https://www.google.com/maps/place/Noble+Riot/data=!4m2!3m1!1s0x876c79829e1a1d55:0xcd850072a1cf7282,,
esp,,https://www.google.com/maps/place/esp/data=!4m2!3m1!1s0x876c7f18943ee8d5:0xd9d14b7746b56456,,
El Korita Castle Rock,,https://www.google.com/maps/place/El+Korita+Castle+Rock/data=!4m2!3m1!1s0x876c981720d69e07:0xe19d086a64cb0e81,,
The Crawford Hotel,,https://www.google.com/maps/place/The+Crawford+Hotel/data=!4m2!3m1!1s0x876c78c309f3382f:0x52ca3cb5f8ec19e9,,
D'Corazon Mexican Restaurant,,https://www.google.com/maps/place/D'Corazon+Mexican+Restaurant/data=!4m2!3m1!1s0x876c78c4f18ed9c9:0xddacc464adf52286,,
Hop Alley,,https://www.google.com/maps/place/Hop+Alley/data=!4m2!3m1!1s0x876c791a77bc3e8b:0x9c545145b9bf319c,,
Cart-Driver,,https://www.google.com/maps/place/Cart-Driver/data=!4m2!3m1!1s0x876c78dfef72a405:0x45f4678c8f08caab,,
Tavernetta,,https://www.google.com/maps/place/Tavernetta/data=!4m2!3m1!1s0x876c78c3d00cf2e5:0xbb92ff2e99f2e76f,,
El Five,,https://www.google.com/maps/place/El+Five/data=!4m2!3m1!1s0x876c78948c6054e3:0xa34952669a253806,,
Linger,,https://www.google.com/maps/place/Linger/data=!4m2!3m1!1s0x876c789485128b17:0xf787e81b653c2464,,
US THAI CAFE,,https://www.google.com/maps/place/US+THAI+CAFE/data=!4m2!3m1!1s0x876b876b15c52d4f:0x5d2c5c5ac5d4860c,,
