Title,Note,URL,Tags,Comment
,,,,
Tamales Liz,,https://www.google.com/maps/place/Tamales+Liz/data=!4m2!3m1!1s0x80d92faab2d38d5f:0x26f2af5248f7f21f,,
Missio Coffee Roasters,,https://www.google.com/maps/place/Missio+Coffee+Roasters/data=!4m2!3m1!1s0x80d893870dd91667:0x614089ce8825bd7c,,
Evoke,,https://www.google.com/maps/place/Evoke/data=!4m2!3m1!1s0x80d8937b3a7c2093:0x8d9df6cc6797d8c1,,
Mariscos Yiyo's,,https://www.google.com/maps/place/Mariscos+Yiyo's/data=!4m2!3m1!1s0x80d891fff024de6d:0x222dbbf7d44e4d5d,,
Thor's Sports Bar,,https://www.google.com/maps/place/Thor's+Sports+Bar/data=!4m2!3m1!1s0x80d8920c9091cf05:0xcded235c7c555ffa,,
da Toni,,https://www.google.com/maps/place/da+Toni/data=!4m2!3m1!1s0x80d89265afdfdfcd:0xb8c67400e8a6bc8d,,
Bahia Bowling Bar,,https://www.google.com/maps/place/Bahia+Bowling+Bar/data=!4m2!3m1!1s0x80d8929ce519e8c1:0x79320417c7a2c24d,,
Tacos Los Gobernadores,,https://www.google.com/maps/place/Tacos+Los+Gobernadores/data=!4m2!3m1!1s0x86ce85baf9195e8b:0xcb3220a8db7dfc71,,
Bier Warehouse,,https://www.google.com/maps/place/Bier+Warehouse/data=!4m2!3m1!1s0x80d88dfe49cb0d5d:0xa774aad3a0310ff8,,
La Llenadera,,https://www.google.com/maps/place/La+Llenadera/data=!4m2!3m1!1s0x80d8935c9eb21377:0xcf2ff2b1556e4913,,
Dochi Ramen & Coffee,,https://www.google.com/maps/place/Dochi+Ramen+%26+Coffee/data=!4m2!3m1!1s0x80d88d9054c944bf:0xad0b0382cb897121,,
Olivea Farm to Table,,https://www.google.com/maps/place/Olivea+Farm+to+Table/data=!4m2!3m1!1s0x80d8eda5aec9876d:0x6c5367c9c38f1204,,
OlivoCafé,,https://www.google.com/maps/place/OlivoCaf%C3%A9/data=!4m2!3m1!1s0x80d8932e85eb2467:0xfd00db8de6e1679f,,
Humo&Sal,,https://www.google.com/maps/place/Humo%26Sal/data=!4m2!3m1!1s0x80d8934a70d4247d:0x923303235e10c0b,,
La Concheria,,https://www.google.com/maps/place/La+Concheria/data=!4m2!3m1!1s0x80d89266da33bfdd:0x6dae7644b3472113,,
Tacos El Paisa,,https://www.google.com/maps/place/Tacos+El+Paisa/data=!4m2!3m1!1s0x80d88d12fb11b9f7:0x63e636e1c69c040,,
Punta Morro,,https://www.google.com/maps/place/Punta+Morro/data=!4m2!3m1!1s0x80d88d8b96cf92bb:0x4e55e8bd59b2e6,,
Sabina Restaurante por La Guerrerense,,https://www.google.com/maps/place/Sabina+Restaurante+por+La+Guerrerense/data=!4m2!3m1!1s0x80d89265798799f3:0x44bf0832ed4cc74d,,
Casa Marcelo,,https://www.google.com/maps/place/Casa+Marcelo/data=!4m2!3m1!1s0x80d89263263eed0b:0xf54f750d04f81cb7,,
Cocina Madre,,https://www.google.com/maps/place/Cocina+Madre/data=!4m2!3m1!1s0x80d893b9b04c1e49:0xd6734b5cbe90804e,,
Boules,,https://www.google.com/maps/place/Boules/data=!4m2!3m1!1s0x80d89261d97ef0a3:0x890bd82781d52193,,
Hussong’s Cantina,,https://www.google.com/maps/place/Hussong%E2%80%99s+Cantina/data=!4m2!3m1!1s0x80d892612a230b8d:0xa52ae5ac0595ea4e,,
