Title,Note,URL,Tags,Comment
,,," Mom, Pop",
mala class,,https://www.google.com/maps/place/mala+class/data=!4m2!3m1!1s0x80c2c408e6aaea03:0xacd867511141ece5,,
Vintage Junktion,,https://www.google.com/maps/place/Vintage+Junktion/data=!4m2!3m1!1s0x80c2c5c218bd3c67:0xb58cc8e54c1877f4,,
39616 Vía Galletas,Mom and Pops,https://www.google.com/maps/place/39616+V%C3%ADa+Galletas/data=!4m2!3m1!1s0x80dc826261870065:0x222102ba17914686," Mom, Pop",
Play Coffee,,https://www.google.com/maps/place/Play+Coffee/data=!4m2!3m1!1s0x80dd2b90e54d0f77:0xd5e71675c0857648,,
"New Orleans Airboat Tours, LLC",,"https://www.google.com/maps/place/New+Orleans+Airboat+Tours,+LLC/data=!4m2!3m1!1s0x862098b14602cd67:0xc1f8cf38232cd993",,
Majestic Hotel,,https://www.google.com/maps/place/Majestic+Hotel/data=!4m2!3m1!1s0x880fd3bb76ef0525:0xc5bcb71024193c0,,
Old Li‘s Restaurant,,https://www.google.com/maps/place/Old+Li%E2%80%98s+Restaurant/data=!4m2!3m1!1s0x88fe7d4b52f019eb:0xd675917b802aba05,,
219 Ashley Ave,,https://www.google.com/maps/place/219+Ashley+Ave/data=!4m2!3m1!1s0x88fe7a47231a938b:0x7fb98669d76f891c,,
Belza Surf Shop Biarritz,,https://www.google.com/maps/place/Belza+Surf+Shop+Biarritz/data=!4m2!3m1!1s0xd516bc343986b07:0x91618f58f2ff3dda,,
Betty Lou's Bistro,,https://www.google.com/maps/place/Betty+Lou's+Bistro/data=!4m2!3m1!1s0x88fe7d3cc1365853:0x91befb6280f2f83f,,
Sai Kitchen,,https://www.google.com/maps/place/Sai+Kitchen/data=!4m2!3m1!1s0x31da190057be5de3:0x4d8310c1c5d3224f,,
Lumphini Park,,https://www.google.com/maps/place/Lumphini+Park/data=!4m2!3m1!1s0x30e29f26ed4bb01b:0xac01b20801f96936,,
"31°49'53.2""N 116°36'32.6""W",,"https://www.google.com/maps/search/31.8314444,-116.6090556",,
Santa Barbara Shellfish Company,,https://www.google.com/maps/place/Santa+Barbara+Shellfish+Company/data=!4m2!3m1!1s0x80e913f2a6797bf9:0xf1719b284dcac9a3,,
Pierre Lafond Montecito,,https://www.google.com/maps/place/Pierre+Lafond+Montecito/data=!4m2!3m1!1s0x80e9125c6c63c251:0x19c573da1d80ddd9,,
Honor Bar,,https://www.google.com/maps/place/Honor+Bar/data=!4m2!3m1!1s0x80e91249d7acaa3d:0x84c3026285c328e2,,
The Liquor & Wine Grotto,,https://www.google.com/maps/place/The+Liquor+%26+Wine+Grotto/data=!4m2!3m1!1s0x80e91249d34613fb:0xc410c627df0a75b8,,
NATAS,,https://www.google.com/maps/place/NATAS/data=!4m2!3m1!1s0x85d1ff002e7e961b:0xced0c3359c3134df,,
DENHAM,,https://www.google.com/maps/place/DENHAM/data=!4m2!3m1!1s0x60188b4f86c3ee61:0xc3e5144a048f5c0b,,
COMAL Restaurante,,https://www.google.com/maps/place/COMAL+Restaurante/data=!4m2!3m1!1s0x80d893606a3c416f:0x526ee330f8bf5ca8,,
Hussong’s Cantina,,https://www.google.com/maps/place/Hussong%E2%80%99s+Cantina/data=!4m2!3m1!1s0x80d892612a230b8d:0xa52ae5ac0595ea4e,,
1215 Wine Bar & Coffee Lab,,https://www.google.com/maps/place/1215+Wine+Bar+%26+Coffee+Lab/data=!4m2!3m1!1s0x8841b3fd87eb190f:0x53fe190f0f20f252,,
Iris Read,,https://www.google.com/maps/place/Iris+Read/data=!4m2!3m1!1s0x8841b39b85bec2fd:0x3c55da4b50e3414f,,
Las Palmas Brewing,,https://www.google.com/maps/place/Las+Palmas+Brewing/data=!4m2!3m1!1s0x80db1b72354216b5:0x5408b6bb43ee80a8,,
Perry's Fine Wines & Liquors - Palm Springs,,https://www.google.com/maps/place/Perry's+Fine+Wines+%26+Liquors+-+Palm+Springs/data=!4m2!3m1!1s0x80db1bbd2ed80603:0x6d7afe621c860a2d,,
San Telmo Fair,,https://www.google.com/maps/place/San+Telmo+Fair/data=!4m2!3m1!1s0x95bccad4a9945bcd:0x1b45e0dbce915355,,
San Telmo Market,Buenos Aires,https://www.google.com/maps/place/San+Telmo+Market/data=!4m2!3m1!1s0x95bccb2a8c8653db:0x7f79f9bc2a8522f1,,
1518 Riverside Dr,,https://www.google.com/maps/place/1518+Riverside+Dr/data=!4m2!3m1!1s0x80dcd5c26dfe4d89:0xacf7a5693363ec1d,,
1449 Carroll Ave,,https://www.google.com/maps/place/1449+Carroll+Ave/data=!4m2!3m1!1s0x80c2c703db238a63:0xfa7bb3c7c12a002c,,
Buvons Natural Wine Shop + Bar,,https://www.google.com/maps/place/Buvons+Natural+Wine+Shop+%2B+Bar/data=!4m2!3m1!1s0x0:0x815181e81b7b0418,,
