Title,Note,URL,Tags,Comment
,,,,
1900 Barker Bakery and Cafe,,https://www.google.com/maps/place/1900+Barker+Bakery+and+Cafe/data=!4m2!3m1!1s0x87bf68ac11f865cb:0x55b34867503ce728,,
Wine Dive + Kitchen,,https://www.google.com/maps/place/Wine+Dive+%2B+Kitchen/data=!4m2!3m1!1s0x87bf6f9e3dc612ff:0x1a9b002b006b50da,,
Free State Brewing Company,,https://www.google.com/maps/place/Free+State+Brewing+Company/data=!4m2!3m1!1s0x87bf6f5ce0c03b2d:0x560efa600e8bd698,,
On The Rocks,,https://www.google.com/maps/place/On+The+Rocks/data=!4m2!3m1!1s0x87bf68ad9f6ced85:0xd0cdb1e08dc9cd52,,
City Wine Market,,https://www.google.com/maps/place/City+Wine+Market/data=!4m2!3m1!1s0x87bf6ea21845eb87:0xd7140d0d92ab04c0,,
The Restorative Chef Personal Chef Service,,https://www.google.com/maps/place/The+Restorative+Chef+Personal+Chef+Service/data=!4m2!3m1!1s0x87bf6fb9f92e5e81:0x35a9992adc8a1cb2,,
Fruitful Acai Bowls,,https://www.google.com/maps/place/Fruitful+Acai+Bowls/data=!4m2!3m1!1s0x87bf6f39faa278f3:0xb5fa3d991ed6092a,,
Pickleman's Gourmet Cafe,,https://www.google.com/maps/place/Pickleman's+Gourmet+Cafe/data=!4m2!3m1!1s0x87bf6f5b4269dfc3:0xbbf549e4d1c13f1e,,
The Fresh Mediterranean Co,,https://www.google.com/maps/place/The+Fresh+Mediterranean+Co/data=!4m2!3m1!1s0x87bf68c801bf3a33:0x143302b518baf895,,
Zen Zero,,https://www.google.com/maps/place/Zen+Zero/data=!4m2!3m1!1s0x87bf6f5b5d25034b:0x40751774ed6ad5fe,,
Culinaria,,https://www.google.com/maps/place/Culinaria/data=!4m2!3m1!1s0x87bf6f5912589517:0x733edab10474133c,,
Global Cafe,,https://www.google.com/maps/place/Global+Cafe/data=!4m2!3m1!1s0x87bf6f5b42180bc5:0x3943e7e506ce3c43,,
715 Restaurant,,https://www.google.com/maps/place/715+Restaurant/data=!4m2!3m1!1s0x87bf6f5cbe5af775:0xe1f5e41638b5f6e0,,
