Title,Note,URL,Tags,Comment
,,,,
Thai Moo Pa,,https://www.google.com/maps/place/Thai+Moo+Pa/data=!4m2!3m1!1s0x80dd31f17970b08f:0x8d1163de04a63c95,,
Corridor Recycling,,https://www.google.com/maps/place/Corridor+Recycling/data=!4m2!3m1!1s0x80dd3460bb4bee37:0x4972295fc6a4002b,,
Nomad Asian Bistro,,https://www.google.com/maps/place/Nomad+Asian+Bistro/data=!4m2!3m1!1s0x80dd2fdedf1483c5:0x8cf4deeb6a7cb42a,,
Shlap Muan Chicken Wings,,https://www.google.com/maps/place/Shlap+Muan+Chicken+Wings/data=!4m2!3m1!1s0x80dd33ad8ec07341:0x19210f4035a41ee7,,
Fusion Sushi,,https://www.google.com/maps/place/Fusion+Sushi/data=!4m2!3m1!1s0x80dd2e06b4c7cc1b:0x4d13092b21e4c16d,,
502 Orizaba Ave,,https://www.google.com/maps/place/502+Orizaba+Ave/data=!4m2!3m1!1s0x80dd31a7b66de777:0xd88546c4e89d2c56,,
El Dorado Tennis Center,,https://www.google.com/maps/place/El+Dorado+Tennis+Center/data=!4m2!3m1!1s0x80dd2e0e2856dba5:0xc0429172c0942e26,,
The Chori-Man,,https://www.google.com/maps/place/The+Chori-Man/data=!4m2!3m1!1s0x80dd37d57f8c113d:0x9e877d49caab5acb,,
Compound,,https://www.google.com/maps/place/Compound/data=!4m2!3m1!1s0x80dd3181374cf921:0xd620c7b516ff09f0,,
Beach Dry Cleaners & Alterations,,https://www.google.com/maps/place/Beach+Dry+Cleaners+%26+Alterations/data=!4m2!3m1!1s0x80dd31a7f0802029:0x83f302d508847028,,
Lily Flower Shop,,https://www.google.com/maps/place/Lily+Flower+Shop/data=!4m2!3m1!1s0x80dd31a28ea0f545:0xd9beab42a2eafeb4,,
Willmore Wine Bar,,https://www.google.com/maps/place/Willmore+Wine+Bar/data=!4m2!3m1!1s0x80dd3398563fe5d1:0xdbaa408829ccda84,,
Liv's Oyster Bar,,https://www.google.com/maps/place/Liv's+Oyster+Bar/data=!4m2!3m1!1s0x80dd31f42c89be91:0xd78e5f4bbcb534bb,,
Leyva Topline Recycling Center,,https://www.google.com/maps/place/Leyva+Topline+Recycling+Center/data=!4m2!3m1!1s0x80dd3318f93db66b:0x22aa009bccd350d8,,
The Bicycle Stand,,https://www.google.com/maps/place/The+Bicycle+Stand/data=!4m2!3m1!1s0x80dd31056b8ff493:0x71b072ad2ffe0e37,,
Rose Park Roasters,,https://www.google.com/maps/place/Rose+Park+Roasters/data=!4m2!3m1!1s0x80dd31a881f08bcd:0xc2b970853d5cf6a3,,
Cyclo Noodles,Does not deliver ,https://www.google.com/maps/place/Cyclo+Noodles/data=!4m2!3m1!1s0x80dd319582490d5d:0x3e8f173842ce0f1,,
30 Esperanza Ave,Tony and Huy’s place ,https://www.google.com/maps/place/30+Esperanza+Ave/data=!4m2!3m1!1s0x80dd311a6d265e37:0xb2fa42895e51e1f3,,
Evzin Mediterranean Cuisine,,https://www.google.com/maps/place/Evzin+Mediterranean+Cuisine/data=!4m2!3m1!1s0x80dd2f40f4f650f7:0xc84d3656b310828d,,
LBCC Bakery,,https://www.google.com/maps/place/LBCC+Bakery/data=!4m2!3m1!1s0x80dd326a0cc7b283:0x41bbe0ba81b14e9c,,
Recreational Coffee,,https://www.google.com/maps/place/Recreational+Coffee/data=!4m2!3m1!1s0x80dd31393db142fd:0x23281d4699c851c3,,
Sushi Mafia,,https://www.google.com/maps/place/Sushi+Mafia/data=!4m2!3m1!1s0x80dd31cb35cdbe35:0xba0ef05d11c20a17,,
The Crooked Duck,,https://www.google.com/maps/place/The+Crooked+Duck/data=!4m2!3m1!1s0x80dd31c08d9445bb:0x1cc8d1ba13f22236,,
Uncle Fung Borneo Eatery,,https://www.google.com/maps/place/Uncle+Fung+Borneo+Eatery/data=!4m2!3m1!1s0x80dd31d3d0a26711:0x13fc56bfadb0e77,,
HiroNori Craft Ramen,,https://www.google.com/maps/place/HiroNori+Craft+Ramen/data=!4m2!3m1!1s0x80dd33311d16e563:0xcdadadedfb8e965d,,
Marri’s Pizza & Pasta Restaurant,,https://www.google.com/maps/place/Marri%E2%80%99s+Pizza+%26+Pasta+Restaurant/data=!4m2!3m1!1s0x80dd2e1f47d56485:0x22fb17a0996bb0cc,,
Thunderbolt Pizza,,https://www.google.com/maps/place/Thunderbolt+Pizza/data=!4m2!3m1!1s0x80dd33af81aa7867:0x105f35c758915870,,
The 4th Horseman,,https://www.google.com/maps/place/The+4th+Horseman/data=!4m2!3m1!1s0x80dd31bf0a88ce1b:0x9ad7243f658fa83,,
Hi-Lo Liquor Market - Long Beach,,https://www.google.com/maps/place/Hi-Lo+Liquor+Market+-+Long+Beach/data=!4m2!3m1!1s0x80dd313afb2a2603:0xa4cc4df9b4cce3be,,
165 Prospect Ave,,https://www.google.com/maps/place/165+Prospect+Ave/data=!4m2!3m1!1s0x80dd304b8ddf71eb:0x269636eec3ec675b,,
140-198 Prospect Ave,,https://www.google.com/maps/place/140-198+Prospect+Ave/data=!4m2!3m1!1s0x80dd304b8d44da6f:0xbbb6160fba6b5ba3,,
Fine Feathers Kombucha Company,,https://www.google.com/maps/place/Fine+Feathers+Kombucha+Company/data=!4m2!3m1!1s0x80dd33e3f102e4ab:0x43d8f06af469a0ec,,
La Ceiba Restaurant,,https://www.google.com/maps/place/La+Ceiba+Restaurant/data=!4m2!3m1!1s0x80dd3112fbd8fbf7:0xa18c07e4beb32736,,
Long Beach Antique Market,,https://www.google.com/maps/place/Long+Beach+Antique+Market/data=!4m2!3m1!1s0x80dd323e2b8d37f3:0x55b627a6fa8bff4e,,
Berth 55-Fish Market and Seafood Deli Restaurant,,https://www.google.com/maps/place/Berth+55-Fish+Market+and+Seafood+Deli+Restaurant/data=!4m2!3m1!1s0x80dd36b4ec7aea0b:0xb919b8d821a20833,,
Chen's Chinese Restaurant,,https://www.google.com/maps/place/Chen's+Chinese+Restaurant/data=!4m2!3m1!1s0x80dd3105d42c4aa7:0xbf7c2c791df920b3,,
Hole Mole,,https://www.google.com/maps/place/Hole+Mole/data=!4m2!3m1!1s0x80dd3111632f1689:0x85390628c3bd1d1e,,
Jerry's Breakfast Place,,https://www.google.com/maps/place/Jerry's+Breakfast+Place/data=!4m2!3m1!1s0x14e1782184c46fd1:0xba98fc11d24b7982,,
Eggs Etc.,,https://www.google.com/maps/place/Eggs+Etc./data=!4m2!3m1!1s0x80dd31a5ec3a4bb1:0x289acedca9cb4dd0,,
Coffee Cup Cafe,,https://www.google.com/maps/place/Coffee+Cup+Cafe/data=!4m2!3m1!1s0x80dd31afc5b67cc3:0xec6c45d29f6f0733,,
Starling Diner,,https://www.google.com/maps/place/Starling+Diner/data=!4m2!3m1!1s0x80dd31b3ca9e0809:0x464124f561a09050,,
Park Pantry,,https://www.google.com/maps/place/Park+Pantry/data=!4m2!3m1!1s0x80dd3105cd9ab375:0xd02ae2b4f87a7232,,
The Nest: A Breakfast Joint,,https://www.google.com/maps/place/The+Nest:+A+Breakfast+Joint/data=!4m2!3m1!1s0x80dd32caae5d4b7b:0xd57e043267f2e0ad,,
Egg Heaven Cafe,,https://www.google.com/maps/place/Egg+Heaven+Cafe/data=!4m2!3m1!1s0x80dd31b133a9ea33:0xb26f6e83646fb357,,
The Local Spot,,https://www.google.com/maps/place/The+Local+Spot/data=!4m2!3m1!1s0x80dd302bee1203a9:0xf18ac1d050f9abbb,,
The Potholder Cafe Belmont,,https://www.google.com/maps/place/The+Potholder+Cafe+Belmont/data=!4m2!3m1!1s0x80dd31ad40074355:0xd125156fd38f9447,,
The Potholder Cafe Downtown,,https://www.google.com/maps/place/The+Potholder+Cafe+Downtown/data=!4m2!3m1!1s0x80dd313776de4803:0x39c8d98946b4b153,,
The Breakfast Bar,,https://www.google.com/maps/place/The+Breakfast+Bar/data=!4m2!3m1!1s0x80dd313dae0548ab:0x79d2da754fcbd8d,,
Phnom Penh Noodle Shack,,https://www.google.com/maps/place/Phnom+Penh+Noodle+Shack/data=!4m2!3m1!1s0x80dd3170f4cbbadb:0xbe120b40053c2a59,,
Nick's on 2nd Long Beach,,https://www.google.com/maps/place/Nick's+on+2nd+Long+Beach/data=!4m2!3m1!1s0x80dd304a22d046bf:0xf953c5d53c1d4bf,,
Lola's Mexican Cuisine,,https://www.google.com/maps/place/Lola's+Mexican+Cuisine/data=!4m2!3m1!1s0x80dd310ee31ad4ef:0xf40ee6b53a6a0b33,,
La Esperanza Restaurant,,https://www.google.com/maps/place/La+Esperanza+Restaurant/data=!4m2!3m1!1s0x80dd31f805b622a1:0x4a95e34be2228513,,
PowWow Pizza Company,,https://www.google.com/maps/place/PowWow+Pizza+Company/data=!4m2!3m1!1s0x80dd334c1c42bf15:0xc3eade57861ae3dd,,
Gus's World Famous Fried Chicken,,https://www.google.com/maps/place/Gus's+World+Famous+Fried+Chicken/data=!4m2!3m1!1s0x80dd33e5f0f8f2c7:0x33f708a3be716734,,
Edna's Filipino Cuisine,,https://www.google.com/maps/place/Edna's+Filipino+Cuisine/data=!4m2!3m1!1s0x80dd340dd7fd7c01:0x7624ec49b81385ab,,
La Parolaccia Osteria - Long Beach,,https://www.google.com/maps/place/La+Parolaccia+Osteria+-+Long+Beach/data=!4m2!3m1!1s0x80dd31aa39760fd5:0xf7bceb695bba91f0,,
