Title,Note,URL,Tags,Comment
,,,,
mala class,,https://www.google.com/maps/place/mala+class/data=!4m2!3m1!1s0x80c2c408e6aaea03:0xacd867511141ece5,,
Vintage Junktion,,https://www.google.com/maps/place/Vintage+Junktion/data=!4m2!3m1!1s0x80c2c5c218bd3c67:0xb58cc8e54c1877f4,,
LOQUI,,https://www.google.com/maps/place/LOQUI/data=!4m2!3m1!1s0x80c2c7445650c97d:0x889a031b24eed253,,
Ferrazzani's Pasta & Market,,https://www.google.com/maps/place/Ferrazzani's+Pasta+%26+Market/data=!4m2!3m1!1s0x80c2c688b2ffffff:0x5c6f8c3a505bc08a,,
"Fatto a Mano, The Pasta Shop",,"https://www.google.com/maps/place/Fatto+a+Mano,+The+Pasta+Shop/data=!4m2!3m1!1s0x80c2b552b2971c45:0x18fe1368909add80",,
Louders,,https://www.google.com/maps/place/Louders/data=!4m2!3m1!1s0x80c2c70999113785:0xf641407aeeb494de,,
Metabolic Studio,,https://www.google.com/maps/place/Metabolic+Studio/data=!4m2!3m1!1s0x80c2c7847aac5fa7:0x61fad6c4402adb0c,,
Southern California Flower Market,,https://www.google.com/maps/place/Southern+California+Flower+Market/data=!4m2!3m1!1s0x80c2c6347c54a6e1:0x14b355ede6c83ce6,,
Mae Malai Thai House of Noodles,,https://www.google.com/maps/place/Mae+Malai+Thai+House+of+Noodles/data=!4m2!3m1!1s0x80c2bfb0a61b783b:0xa6606647968e479a,,
Quat LA,,https://www.google.com/maps/place/Quat+LA/data=!4m2!3m1!1s0x80c2c1e7625cc255:0x7482c0c07e81a3e8,,
Jame Enoteca,,https://www.google.com/maps/place/Jame+Enoteca/data=!4m2!3m1!1s0x80c2b1b8529d6225:0x61f7ee31de01f645,,
¡Jaime! Taqueria & Breakfast Burritos,Breakfast burritos,https://www.google.com/maps/place/%C2%A1Jaime!+Taqueria+%26+Breakfast+Burritos/data=!4m2!3m1!1s0x80c2b1a9098bb665:0xe8a67ecfeb2d1b25,,
Little Dom's,,https://www.google.com/maps/place/Little+Dom's/data=!4m2!3m1!1s0x80c2c0bb29e3df25:0x5d65b5ff0666ec7d,,
The High Low,,https://www.google.com/maps/place/The+High+Low/data=!4m2!3m1!1s0x80c2c1dbae43e673:0x4595f44f93dd552e,,
Hermon's,,https://www.google.com/maps/place/Hermon's/data=!4m2!3m1!1s0x80c2c5112d25fd8d:0xebe0b5822194a7d3,,
Dunsmoor,,https://www.google.com/maps/place/Dunsmoor/data=!4m2!3m1!1s0x80c2c1c152f01643:0x159e681a2b0dddaa,,
Garçons de Café,,https://www.google.com/maps/place/Gar%C3%A7ons+de+Caf%C3%A9/data=!4m2!3m1!1s0x80c2c64ac1038f19:0x5936a91f68259e83,,
Sam’s Place,,https://www.google.com/maps/place/Sam%E2%80%99s+Place/data=!4m2!3m1!1s0x80c2c500675b3445:0x4eeca797ddcdac10,,
Secret Pizza,,https://www.google.com/maps/place/Secret+Pizza/data=!4m2!3m1!1s0x80c2c511219672b3:0xf8612f9496092a9c,,
Palm Springs,,https://www.google.com/maps/place/Palm+Springs/data=!4m2!3m1!1s0x80db1ad4ffdbe5b3:0xa1e56987c2ed797c,,
Chainsaw Café,,https://www.google.com/maps/place/Chainsaw+Caf%C3%A9/data=!4m2!3m1!1s0x80c2b94abd5ef2ed:0x5700f58c7286888,,
Lanza Brothers Market,,https://www.google.com/maps/place/Lanza+Brothers+Market/data=!4m2!3m1!1s0x80c2c6645cab9f07:0xcdacd9ecc6aec888,,
Beethoven Market,,https://www.google.com/maps/place/Beethoven+Market/data=!4m2!3m1!1s0x80c2baf0ba3f0597:0x2845e5bc8bef15f6,,
SELINE,,https://www.google.com/maps/place/SELINE/data=!4m2!3m1!1s0x80c2bbded5f14215:0x74c77bf03f512a30,,
