Title,Note,URL,Tags,Comment
,,,,
Mr. Melo,,https://www.google.com/maps/place/Mr.+Melo/data=!4m2!3m1!1s0x89c25993184df32d:0x39db7651aaf97fe4,,
Million Goods,,https://www.google.com/maps/place/Million+Goods/data=!4m2!3m1!1s0x89c259004b7be81b:0xe8a7c53654cd4b50,,
Amsterdam Wine Co.,,https://www.google.com/maps/place/Amsterdam+Wine+Co./data=!4m2!3m1!1s0x89c2588a248da17d:0x8a0697c798d332c2,,
Chambers,,https://www.google.com/maps/place/Chambers/data=!4m2!3m1!1s0x89c25b3cc79a72e3:0xf367674e4fd63656,,
Le Veau d'Or,,https://www.google.com/maps/place/Le+Veau+d'Or/data=!4m2!3m1!1s0x89c258ef7f13c7f1:0xbd74e2af7163b932,,
Kingston Wine Co.,,https://www.google.com/maps/place/Kingston+Wine+Co./data=!4m2!3m1!1s0x89dd0fad66869bc9:0xfacac1dd9a5cc80c,,
Death Ave Wines,,https://www.google.com/maps/place/Death+Ave+Wines/data=!4m2!3m1!1s0x89c259b863810447:0x503fbe14e1127772,,
The Ten Bells,,https://www.google.com/maps/place/The+Ten+Bells/data=!4m2!3m1!1s0x89c25987389ae03d:0xf9cfb6586afabd5e,,
Ruffian,,https://www.google.com/maps/place/Ruffian/data=!4m2!3m1!1s0x89c2599d46edfb1d:0xab10419df1449112,,
Fred's Dog House,,https://www.google.com/maps/place/Fred's+Dog+House/data=!4m2!3m1!1s0x89c2596377d7c411:0x405b541ef4a35881,,
Sailor,,https://www.google.com/maps/place/Sailor/data=!4m2!3m1!1s0x89c25b017d0017db:0x14012f4ba7421048,,
Le French Diner,,https://www.google.com/maps/place/Le+French+Diner/data=!4m2!3m1!1s0x89c25983ee31af31:0x2f54342c97c44dde,,
S&P Lunch,,https://www.google.com/maps/place/S%26P+Lunch/data=!4m2!3m1!1s0x89c259af7859cec3:0xd49f9be0fee3f52d,,
Penny,,https://www.google.com/maps/place/Penny/data=!4m2!3m1!1s0x89c259fed4aa0623:0xcc49c3a759b86198,,
