Title,Note,URL,Tags,Comment
,,,,
Galaxie,,https://www.google.com/maps/place/Galaxie/data=!4m2!3m1!1s0x8620a7ce6f442343:0xa67491df978ced3e,,
Brothers III Lounge,,https://www.google.com/maps/place/Brothers+III+Lounge/data=!4m2!3m1!1s0x8620a451e875ba95:0x577064acaada66b1,,
Pluck Wine Bar & Restaurant,,https://www.google.com/maps/place/Pluck+Wine+Bar+%26+Restaurant/data=!4m2!3m1!1s0x8620a7616e1277e9:0xceb68998f93dbd13,,
Doris Metropolitan New Orleans,,https://www.google.com/maps/place/Doris+Metropolitan+New+Orleans/data=!4m2!3m1!1s0x8620a6118b52e2c3:0xc6d32f9a31ffed3,,
Fatma's Cozy Corner,,https://www.google.com/maps/place/Fatma's+Cozy+Corner/data=!4m2!3m1!1s0x8620a60424102c95:0xfe5c89faba078aa3,,
Cherry Coffee Roasters,,https://www.google.com/maps/place/Cherry+Coffee+Roasters/data=!4m2!3m1!1s0x8620a4573049d987:0x79786ce2e12af332,,
Baldwin & Co. coffee + bookstore,,https://www.google.com/maps/place/Baldwin+%26+Co.+coffee+%2B+bookstore/data=!4m2!3m1!1s0x8620a778ee365279:0xa8f399aaf8b70baa,,
The Station Coffee Shop & Bakery,,https://www.google.com/maps/place/The+Station+Coffee+Shop+%26+Bakery/data=!4m2!3m1!1s0x8620af7cb5a5eeb9:0xbf3a55057792730,,
Mr Wolf Espresso,,https://www.google.com/maps/place/Mr+Wolf+Espresso/data=!4m2!3m1!1s0x8620a76e624d6b69:0x257e6ed104fd753d,,
French Truck Coffee,,https://www.google.com/maps/place/French+Truck+Coffee/data=!4m2!3m1!1s0x8620a679e1c4d407:0xeb1afe28f1b0532f,,
Fourth Wall,,https://www.google.com/maps/place/Fourth+Wall/data=!4m2!3m1!1s0x8620a79e9f5f5e39:0x9de38bca82009d44,,
Mammoth Espresso,,https://www.google.com/maps/place/Mammoth+Espresso/data=!4m2!3m1!1s0x8620a675f7700e85:0xd336971344111291,,
Café Bon Ami,,https://www.google.com/maps/place/Caf%C3%A9+Bon+Ami/data=!4m2!3m1!1s0x8620a674d48e7581:0x147475c17ce786d4,,
Nova Espresso,,https://www.google.com/maps/place/Nova+Espresso/data=!4m2!3m1!1s0x8620a673b4c2ac25:0xcf60c73f0ec82004,,
Hey! Café,,https://www.google.com/maps/place/Hey!+Caf%C3%A9/data=!4m2!3m1!1s0x8620a5068eac0de7:0x7a0786db1a56976a,,
Faulkner House Books,,https://www.google.com/maps/place/Faulkner+House+Books/data=!4m2!3m1!1s0x8620a6119507cc69:0x4c70ac76c962be05,,
Dauphine Street Books,,https://www.google.com/maps/place/Dauphine+Street+Books/data=!4m2!3m1!1s0x8620a60e9ccb141b:0x807494cb04cc6936,,
Octavia Books,,https://www.google.com/maps/place/Octavia+Books/data=!4m2!3m1!1s0x8620a4f9811f8de5:0xd9f47e480dc00bce,,
Blue Cypress Books,,https://www.google.com/maps/place/Blue+Cypress+Books/data=!4m2!3m1!1s0x8620a51582381a2f:0x2b8b5feee7148a2e,,
Crescent City Books,,https://www.google.com/maps/place/Crescent+City+Books/data=!4m2!3m1!1s0x8620a60da1202a1d:0xeaaef0e814b2ee8f,,
The Garden District Book Shop,,https://www.google.com/maps/place/The+Garden+District+Book+Shop/data=!4m2!3m1!1s0x8620a5cd6e1bb375:0x880dc93c43d84448,,
The National WWII Museum,,https://www.google.com/maps/place/The+National+WWII+Museum/data=!4m2!3m1!1s0x8620a676da80ce1d:0x855a6fd37bed266a,,
The Maidstone New Orleans,,https://www.google.com/maps/place/The+Maidstone+New+Orleans/data=!4m2!3m1!1s0x8620a50030f6c8b7:0x4424a237080ef98a,,
Mister Mao,,https://www.google.com/maps/place/Mister+Mao/data=!4m2!3m1!1s0x8620a5cf5f7dc4c3:0xb5e5bb65772a299d,,
Boil & Barrel,,https://www.google.com/maps/place/Boil+%26+Barrel/data=!4m2!3m1!1s0x8620af09aceefd8b:0xa98d66f98e53cdce,,
Morning Call Coffee Stand,,https://www.google.com/maps/place/Morning+Call+Coffee+Stand/data=!4m2!3m1!1s0x8620af9bd6cc59e1:0x2a1baa13dfaac5fa,,
Frady's One Stop Food Store,,https://www.google.com/maps/place/Frady's+One+Stop+Food+Store/data=!4m2!3m1!1s0x8620a62e6d57bbd1:0xe8b402df20ed9b72,,
StudioBE,,https://www.google.com/maps/place/StudioBE/data=!4m2!3m1!1s0x8620a6251511f799:0x4a7a00e24ae79821,,
Paladar 511,,https://www.google.com/maps/place/Paladar+511/data=!4m2!3m1!1s0x8620a622c82c7ad1:0xeb57f0886546fabf,,
Mosquito Supper Club,,https://www.google.com/maps/place/Mosquito+Supper+Club/data=!4m2!3m1!1s0x8620a60f9b926b7f:0x8944d4a28c6a05ce,,
Hungry Eyes,,https://www.google.com/maps/place/Hungry+Eyes/data=!4m2!3m1!1s0x8620a5296d07f6fd:0x240f393512f93a5b,,
The Independent Caveau NOLA,,https://www.google.com/maps/place/The+Independent+Caveau+NOLA/data=!4m2!3m1!1s0x8620a51cdca0cbdf:0x5aa0d3e301113644,,
Really Really Nice Wines,,https://www.google.com/maps/place/Really+Really+Nice+Wines/data=!4m2!3m1!1s0x8620a55c5d85c64b:0xf13892fb9475d96f,,
Keife & Co.,,https://www.google.com/maps/place/Keife+%26+Co./data=!4m2!3m1!1s0x8620a676133de22d:0xaedb635530ae2403,,
Seaworthy,,https://www.google.com/maps/place/Seaworthy/data=!4m2!3m1!1s0x8620a67455062057:0x1a15023dd6c1e365,,
Salon Salon,,https://www.google.com/maps/place/Salon+Salon/data=!4m2!3m1!1s0x8620a7da509883f7:0x17a6fb80f85807d0,,
Markey's Bar,,https://www.google.com/maps/place/Markey's+Bar/data=!4m2!3m1!1s0x8620a62e2db8cf65:0x9cab7874e68cf506,,
Crescent Park,,https://www.google.com/maps/place/Crescent+Park/data=!4m2!3m1!1s0x8620a7001b445c6d:0xd777e64b87e4dd18,,
Bywater Bakery,,https://www.google.com/maps/place/Bywater+Bakery/data=!4m2!3m1!1s0x8620a62d7aeeff9b:0x80a500250858e17,,
Lucullus Antiques,,https://www.google.com/maps/place/Lucullus+Antiques/data=!4m2!3m1!1s0x8620a6121fe99743:0xea42664e23c851cc,,
Lowpoint,,https://www.google.com/maps/place/Lowpoint/data=!4m2!3m1!1s0x8620a707b8f5274b:0x7b9fd4a51e988d78,,
The Joint,,https://www.google.com/maps/place/The+Joint/data=!4m2!3m1!1s0x8620a7ce0efd0de9:0xdc24ef742cd50857,,
La Petite Grocery,,https://www.google.com/maps/place/La+Petite+Grocery/data=!4m2!3m1!1s0x8620a44e8c8319f1:0xfaee0a069cb24e64,,
Hotel Saint Vincent,,https://www.google.com/maps/place/Hotel+Saint+Vincent/data=!4m2!3m1!1s0x8620a678d0255555:0xd73be08a8b41e465,,
Clancy's Restaurant,,https://www.google.com/maps/place/Clancy's+Restaurant/data=!4m2!3m1!1s0x8620a4e4354b3c1d:0xdc09d83d7f2fc795,,
The Bell,,https://www.google.com/maps/place/The+Bell/data=!4m2!3m1!1s0x8620af0013326a69:0x124389dc9ce5a2ea,,
Margot’s,,https://www.google.com/maps/place/Margot%E2%80%99s/data=!4m2!3m1!1s0x8620a7ebdca6ff2b:0x67280ef20ef4dde3,,
Faubourg Wines,,https://www.google.com/maps/place/Faubourg+Wines/data=!4m2!3m1!1s0x8620a626739649d1:0xc9bcc2538fc3cd51,,
2328 Burgundy St,Riali,https://www.google.com/maps/place/2328+Burgundy+St/data=!4m2!3m1!1s0x8620a622414b425b:0xccd231125289cfd,,
Galatoire's,,https://www.google.com/maps/place/Galatoire's/data=!4m2!3m1!1s0x8620a60c6bbe47ff:0xe159f35f049b6730,,
Liuzza's by the Track,,https://www.google.com/maps/place/Liuzza's+by+the+Track/data=!4m2!3m1!1s0x8620af50b12d8fe9:0x5b74d792897a48ef,,
The High Hat Cafe,,https://www.google.com/maps/place/The+High+Hat+Cafe/data=!4m2!3m1!1s0x8620a5ae425f2cf9:0x4b7bed152f837a33,,
Lilette,,https://www.google.com/maps/place/Lilette/data=!4m2!3m1!1s0x8620a435fd3afa5d:0x8617aa90f39a11e5,,
N7,,https://www.google.com/maps/place/N7/data=!4m2!3m1!1s0x8620a628b5c789bf:0xb2cbd8086d397044,,
Saint-Germain,,https://www.google.com/maps/place/Saint-Germain/data=!4m2!3m1!1s0x8620a7b10bb00f3b:0x44d39f1952477a26,,
Patron Saint,,https://www.google.com/maps/place/Patron+Saint/data=!4m2!3m1!1s0x8620a7ca146e38b7:0xcc8e3cf22e26e61a,,
THE TELL ME BAR,,https://www.google.com/maps/place/THE+TELL+ME+BAR/data=!4m2!3m1!1s0x8620a7ef1ad49fb3:0x64a44d0a7eff0609,,
Bacchanal Fine Wine & Spirits,,https://www.google.com/maps/place/Bacchanal+Fine+Wine+%26+Spirits/data=!4m2!3m1!1s0x8620a7cdcd8f42b9:0xdee0a82652c45fbb,,
