Title,Note,URL,Tags,Comment
,,,,
La Mariana Sailing Club,,https://www.google.com/maps/place/La+Mariana+Sailing+Club/data=!4m2!3m1!1s0x7c006e4ff0daa5d3:0x8f434783d0cecedb,,
Creekside,,https://www.google.com/maps/place/Creekside/data=!4m2!3m1!1s0x7c0014c35b4d5811:0xfed84a18fda68f74,,
Mitch's Fish Market & Sushi Bar,,https://www.google.com/maps/place/Mitch's+Fish+Market+%26+Sushi+Bar/data=!4m2!3m1!1s0x7c006faa5a30e63b:0x5858465f68efe62a,,
Magokoro,,https://www.google.com/maps/place/Magokoro/data=!4m2!3m1!1s0x7c006df4527887b5:0x406836d71a1bcd5e,,
Sushi Sho,,https://www.google.com/maps/place/Sushi+Sho/data=!4m2!3m1!1s0x7c006d8a56676d23:0xd465a1eefe1f2f2f,,
Ethel's Grill,,https://www.google.com/maps/place/Ethel's+Grill/data=!4m2!3m1!1s0x7c006e5cd9411e7f:0x4f458cef3559f842,,
Olomana Ridge Trailhead,,https://www.google.com/maps/place/Olomana+Ridge+Trailhead/data=!4m2!3m1!1s0x7c0014ad23f72d0d:0x7dde7f1a68d5d9c9,,
Haleiwa Joe's,,https://www.google.com/maps/place/Haleiwa+Joe's/data=!4m2!3m1!1s0x7c0058d3c82ca71d:0xcc193f36c9ed743d,,
The Beet Box Cafe,,https://www.google.com/maps/place/The+Beet+Box+Cafe/data=!4m2!3m1!1s0x7c005f2e449e1955:0xee05c3bd0322aa30,,
Café Haleiwa,,https://www.google.com/maps/place/Caf%C3%A9+Haleiwa/data=!4m2!3m1!1s0x7c005fc37f3cc5fd:0xbbf3ec3399e9f62e,,
Rangoon Burmese kitchen,,https://www.google.com/maps/place/Rangoon+Burmese+kitchen/data=!4m2!3m1!1s0x7c006f8ad2fe48cb:0xb0d61bdd95899958,,
Senia,,https://www.google.com/maps/place/Senia/data=!4m2!3m1!1s0x7c006e738d9d9645:0x57823627fe764943,,
Side Street Inn,,https://www.google.com/maps/place/Side+Street+Inn/data=!4m2!3m1!1s0x7c006de5252c5143:0xc67749a08be74fc6,,
Kyung's Seafood Inc,,https://www.google.com/maps/place/Kyung's+Seafood+Inc/data=!4m2!3m1!1s0x7c006de8d172747b:0x845ac1c5fe023739,,
The Pig and The Lady,,https://www.google.com/maps/place/The+Pig+and+The+Lady/data=!4m2!3m1!1s0x7c006e738d38f87f:0x3c3a78b0a6ad02c7,,
Alan Wong's Honolulu,,https://www.google.com/maps/place/Alan+Wong's+Honolulu/data=!4m2!3m1!1s0x7c006d9317d1a977:0x577362b631f804a7,,
Arnold's Beach Bar,,https://www.google.com/maps/place/Arnold's+Beach+Bar/data=!4m2!3m1!1s0x7c006d8a9150c147:0x1d05a1b0988e9680,,
The Breakers Hotel,,https://www.google.com/maps/place/The+Breakers+Hotel/data=!4m2!3m1!1s0x7c007275610d64cf:0x294402f37b1a5fdc,,
Side Street Inn On Da Strip,,https://www.google.com/maps/place/Side+Street+Inn+On+Da+Strip/data=!4m2!3m1!1s0x7c006d80a119ccfd:0xa67649fe6e24a623,,
Bar Leather Apron,,https://www.google.com/maps/place/Bar+Leather+Apron/data=!4m2!3m1!1s0x7c006e7351abde4d:0x3dc8358db88480f,,
Taormina Sicilian Cuisine,,https://www.google.com/maps/place/Taormina+Sicilian+Cuisine/data=!4m2!3m1!1s0x7c00727570a36fe5:0xa6db339b88ba6968,,
