Title,Note,URL,Tags,Comment
,,,,
Palm Springs,,https://www.google.com/maps/place/Palm+Springs/data=!4m2!3m1!1s0x80db1ad4ffdbe5b3:0xa1e56987c2ed797c,,
Melvyn’s at the Ingleside Estate,,https://www.google.com/maps/place/Melvyn%E2%80%99s+at+the+Ingleside+Estate/data=!4m2!3m1!1s0x80db1ba78fc068b3:0x38a83549cac7f4f4,,
Korakia Pensione,,https://www.google.com/maps/place/Korakia+Pensione/data=!4m2!3m1!1s0x80db1baf2f920153:0xb5523bbd7d8a4a38,,
Lost Property Restaurant Palm Springs,,https://www.google.com/maps/place/Lost+Property+Restaurant+Palm+Springs/data=!4m2!3m1!1s0x80db1b1cb6f50733:0x58a8ef9f0d0806ef,,
Mary Pickford is D'Place,,https://www.google.com/maps/place/Mary+Pickford+is+D'Place/data=!4m2!3m1!1s0x80db02d9c803d2e5:0xfac252b3f04a40b,,
On The Mark Palm Springs,,https://www.google.com/maps/place/On+The+Mark+Palm+Springs/data=!4m2!3m1!1s0x80db1bb84cea1625:0xc77162eff335e2ad,,
Desert Wine Shop on 111 La Quinta,,https://www.google.com/maps/place/Desert+Wine+Shop+on+111+La+Quinta/data=!4m2!3m1!1s0x80dafe70bc5c47db:0x736241fe4ccb0515,,
Las Palmas Brewing,,https://www.google.com/maps/place/Las+Palmas+Brewing/data=!4m2!3m1!1s0x80db1b72354216b5:0x5408b6bb43ee80a8,,
Perry's Fine Wines & Liquors - Palm Springs,,https://www.google.com/maps/place/Perry's+Fine+Wines+%26+Liquors+-+Palm+Springs/data=!4m2!3m1!1s0x80db1bbd2ed80603:0x6d7afe621c860a2d,,
High Moon Restaurant,,https://www.google.com/maps/place/High+Moon+Restaurant/data=!4m2!3m1!1s0x80db1b1131124aff:0x7d8032e8803aa009,,
Le Vallauris Restaurant,,https://www.google.com/maps/place/Le+Vallauris+Restaurant/data=!4m2!3m1!1s0x80db1baf83485a69:0x3d96a368d844e9da,,
Azúcar Palm Springs,,https://www.google.com/maps/place/Az%C3%BAcar+Palm+Springs/data=!4m2!3m1!1s0x80db1ba622d2a69f:0x9c5223992f263f4c,,
Maleza,,https://www.google.com/maps/place/Maleza/data=!4m2!3m1!1s0x80db1b16b4df4e3b:0xc0a9dbef0ce7d963,,
Ingleside Estate,,https://www.google.com/maps/place/Ingleside+Estate/data=!4m2!3m1!1s0x80db1ba78fc068b3:0x8af90317e3ee677,,
Sherman's Deli & Bakery,,https://www.google.com/maps/place/Sherman's+Deli+%26+Bakery/data=!4m2!3m1!1s0x80db1ba3f31b4545:0x9f29d79c71fb85fa,,
Lola Rose Grand Mezze,,https://www.google.com/maps/place/Lola+Rose+Grand+Mezze/data=!4m2!3m1!1s0x80db1bcb6d745f6f:0x3b4a23e42058348e,,
1501 Uptown Gastropub,,https://www.google.com/maps/place/1501+Uptown+Gastropub/data=!4m2!3m1!1s0x80db1b186e3c471d:0xa6783034fd9e4a33,,
Spencer's Restaurant,,https://www.google.com/maps/place/Spencer's+Restaurant/data=!4m2!3m1!1s0x80db1baecbd38391:0x5a32a8069f249071,,
Pomme Frite,,https://www.google.com/maps/place/Pomme+Frite/data=!4m2!3m1!1s0x80db1ba67ba6d64f:0x7e24ede063caff15,,
Paul Bar/Food,,https://www.google.com/maps/place/Paul+Bar%2FFood/data=!4m2!3m1!1s0x80db1d9dd2659695:0x92e97b7e7f13defd,,
The Copper Room,,https://www.google.com/maps/place/The+Copper+Room/data=!4m2!3m1!1s0x80dad996b2201fd9:0xd8963fcb1b245f51,,
Ernest Coffee,,https://www.google.com/maps/place/Ernest+Coffee/data=!4m2!3m1!1s0x80db1bc7986da3a1:0xac05a6042dab6adc,,
Fleur Noire Hotel,,https://www.google.com/maps/place/Fleur+Noire+Hotel/data=!4m2!3m1!1s0x80db1b3fce59b015:0x3ce60604b63a78b6,,
Bar Cecil,,https://www.google.com/maps/place/Bar+Cecil/data=!4m2!3m1!1s0x80db1b196b679907:0x8bf42422aa9bd1eb,,
Shanghai Reds Bar & Grill,,https://www.google.com/maps/place/Shanghai+Reds+Bar+%26+Grill/data=!4m2!3m1!1s0x80db1ba6835b7975:0x31bc6d47bd07dcf4,,
Dive Palm Springs,,https://www.google.com/maps/place/Dive+Palm+Springs/data=!4m2!3m1!1s0x80db1b6972702e61:0x1c188c0e28d68151,,
Sparrows Lodge,,https://www.google.com/maps/place/Sparrows+Lodge/data=!4m2!3m1!1s0x80db1b6bc28ec485:0x42edab900a2e84e7,,
Market Market,,https://www.google.com/maps/place/Market+Market/data=!4m2!3m1!1s0x80db1bbefb17ce09:0xc0ae33cd9e61fa4a,,
