Title,Note,URL,Tags,Comment
,,,,
Le Jardin de Verre by Locke,,https://www.google.com/maps/place/Le+Jardin+de+Verre+by+Locke/data=!4m2!3m1!1s0x47e671fb57e5e6a3:0xf97b2d283e84d057,,
Saint Pearl Sorbonne,,https://www.google.com/maps/place/Saint+Pearl+Sorbonne/data=!4m2!3m1!1s0x47e671ae70cc7dd5:0xf84e82ef600ace49,,
Fromagerie chez Alexandre,,https://www.google.com/maps/place/Fromagerie+chez+Alexandre/data=!4m2!3m1!1s0x47e671d3b4e640b7:0x91a417dc56d738d4,,
Montparnasse 2 - Gare TGV,Train heading south ,https://www.google.com/maps/place/Montparnasse+2+-+Gare+TGV/data=!4m2!3m1!1s0x47e67035bc998fa3:0x67e155371e1a5e53,,
Petits Raviolis,,https://www.google.com/maps/place/Petits+Raviolis/data=!4m2!3m1!1s0x47e66dca3cfb4855:0x6417eab0a5dc9588,,
Wukong The Grand Master,,https://www.google.com/maps/place/Wukong+The+Grand+Master/data=!4m2!3m1!1s0x47e66f1303c28aeb:0x1e6c67ff288b45a7,,
Bubble Bliss,,https://www.google.com/maps/place/Bubble+Bliss/data=!4m2!3m1!1s0x47e6711e6d75840f:0x5ef71a6278a92dce,,
Les Artisans Lunetiers,Glasses ,https://www.google.com/maps/place/Les+Artisans+Lunetiers/data=!4m2!3m1!1s0x47e671d950b1f879:0xf1fbc6a9ecb29972,,
Aspasie Et Mathieu,Men’s work wear ,https://www.google.com/maps/place/Aspasie+Et+Mathieu/data=!4m2!3m1!1s0x47e671e6eef1aed9:0xf9c5ecf0a6abfebd,,
CrocoDisc,,https://www.google.com/maps/place/CrocoDisc/data=!4m2!3m1!1s0x47e671e71aaef673:0xb206a0065b848e31,,
Galerie SIX,Cute gallery ,https://www.google.com/maps/place/Galerie+SIX/data=!4m2!3m1!1s0x47e671c388ba5145:0x1529a145c3274ede,,
Au Vieux Campeur,Travel book store ,https://www.google.com/maps/place/Au+Vieux+Campeur/data=!4m2!3m1!1s0x47e671e6e1019f2f:0xbdca4c4a9102a91b,,
Bonjour Jacob,,https://www.google.com/maps/place/Bonjour+Jacob/data=!4m2!3m1!1s0x47e671022a9bb0ad:0xcc1c2fd283bb9f65,,
Crible,,https://www.google.com/maps/place/Crible/data=!4m2!3m1!1s0x47e671a2e7f194df:0xe9c63a72ff7a6a9c,,
Café d’Auteur - Specialty Coffee shop & roaster,,https://www.google.com/maps/place/Caf%C3%A9+d%E2%80%99Auteur+-+Specialty+Coffee+shop+%26+roaster/data=!4m2!3m1!1s0x47e6716b341278c9:0x42925abdb9dd5f03,,
The Coffee,,https://www.google.com/maps/place/The+Coffee/data=!4m2!3m1!1s0x47e67172591ea39f:0x5cf004958c41208,,
