"Make an early res, eat some of the most beautiful food of your life, get on a red-eye home. Win."

Title,Note,URL,Tags,Comment
,,,,
Monvínic,,https://www.google.com/maps/place/Monv%C3%ADnic/data=!4m2!3m1!1s0x12a4a2f2cf8065f5:0x1eedbb49922dc23b,,
Bagués Hotel Barcelona,,https://www.google.com/maps/place/Bagu%C3%A9s+Hotel+Barcelona/data=!4m2!3m1!1s0x12a4a2f651401555:0x3f99352fd10778aa,,
Mercado de La Boqueria,,https://www.google.com/maps/place/Mercado+de+La+Boqueria/data=!4m2!3m1!1s0x12a4a2f7b51e5a01:0x860ac654dc73add5,,
Cañete,,https://www.google.com/maps/place/Ca%C3%B1ete/data=!4m2!3m1!1s0x12a4a258412bcb19:0x1c77b2f8f4cdfb63,,
Restaurante El Faro de Cádiz,,https://www.google.com/maps/place/Restaurante+El+Faro+de+C%C3%A1diz/data=!4m2!3m1!1s0xd0dd3e03208f6e3:0x762b5fabad472a85,,
Aponiente,,https://www.google.com/maps/place/Aponiente/data=!4m2!3m1!1s0xd0dcfe9bdf1c84b:0x73dd38d4b1da997,,
Parador de Cádiz,,https://www.google.com/maps/place/Parador+de+C%C3%A1diz/data=!4m2!3m1!1s0xd0dd15ebaed8319:0x7db255f5acaac6e8,,
La Carboná,,https://www.google.com/maps/place/La+Carbon%C3%A1/data=!4m2!3m1!1s0xd0dc69343f73189:0xc70817eb0ba363ed,,
La Moderna,,https://www.google.com/maps/place/La+Moderna/data=!4m2!3m1!1s0xd0dc6941e61fb7d:0x5f3515d1fd1649fe,,
Bar Juanito,,https://www.google.com/maps/place/Bar+Juanito/data=!4m2!3m1!1s0xd0dc6913c4a7337:0xd148d13f00451722,,
La Cruz Blanca,,https://www.google.com/maps/place/La+Cruz+Blanca/data=!4m2!3m1!1s0xd0dc69135fcd247:0xb7302ff07e36700,,
Bar Las Golondrinas,,https://www.google.com/maps/place/Bar+Las+Golondrinas/data=!4m2!3m1!1s0xd126dc7dcdff66d:0x9532523f76e64bd0,,
El Rinconcillo,,https://www.google.com/maps/place/El+Rinconcillo/data=!4m2!3m1!1s0xd126c03633fba39:0x30a2b4aa46bc6a20,,
Espacio Eslava,,https://www.google.com/maps/place/Espacio+Eslava/data=!4m2!3m1!1s0xd126c09223a769f:0x1bb550960d3488d8,,
Casa Gallega,,https://www.google.com/maps/place/Casa+Gallega/data=!4m2!3m1!1s0xd42287ebaa4998d:0x2295aac9c0e7a127,,
O'Pazo,,https://www.google.com/maps/place/O'Pazo/data=!4m2!3m1!1s0xd4228fc2e6793ab:0xd0a4d32fef849697,,
Posada de la Villa,,https://www.google.com/maps/place/Posada+de+la+Villa/data=!4m2!3m1!1s0xd422878a925f835:0x6376cdcd16183d8e,,
La Venencia,,https://www.google.com/maps/place/La+Venencia/data=!4m2!3m1!1s0xd4228810eb286a1:0x2b84d4360e8a4a30,,
La Dolores,,https://www.google.com/maps/place/La+Dolores/data=!4m2!3m1!1s0xd422880502940eb:0xa576ebdaf3f426ae,,
Restaurant Elkano,,https://www.google.com/maps/place/Restaurant+Elkano/data=!4m2!3m1!1s0xd51c8a219a0d11f:0x2a5ca57ed5e4784,,
Asador Etxebarri,,https://www.google.com/maps/place/Asador+Etxebarri/data=!4m2!3m1!1s0xd4fd2f2e829037f:0x2a92df5d5d965416,,
The Loaf,,https://www.google.com/maps/place/The+Loaf/data=!4m2!3m1!1s0xd51a545a79a0b97:0x84d617bdd4630005,,
Ganbara,,https://www.google.com/maps/place/Ganbara/data=!4m2!3m1!1s0xd51a54da1714ec5:0xfa20a83c1bd9454e,,
Rekondo,,https://www.google.com/maps/place/Rekondo/data=!4m2!3m1!1s0xd51ba9e7d8dd281:0x75c32fa924ac35e9,,
Restaurante Saltxipi,,https://www.google.com/maps/place/Restaurante+Saltxipi/data=!4m2!3m1!1s0xd51a5682bf59e33:0xa83755410e2bd210,,
Ibai,,https://www.google.com/maps/place/Ibai/data=!4m2!3m1!1s0xd51a550dfac9b47:0x27946214f7d7f5f3,,
Maison Fredon,,https://www.google.com/maps/place/Maison+Fredon/data=!4m2!3m1!1s0xd552634e1ae422f:0x708c8130d2f4f499,,
L'univerre,,https://www.google.com/maps/place/L'univerre/data=!4m2!3m1!1s0xd5527e9f63943cb:0x7e82580fe55d1fdb,,
La Tupina,,https://www.google.com/maps/place/La+Tupina/data=!4m2!3m1!1s0xd552634e2527975:0xcf0bfdc08c242c6e,,
Candelaria,,https://www.google.com/maps/place/Candelaria/data=!4m2!3m1!1s0x47e66e06f0ade5e7:0xfe5e1d4c40b38ec0,,
Hôtel Bourg Tibourg - Paris Marais,,https://www.google.com/maps/place/H%C3%B4tel+Bourg+Tibourg+-+Paris+Marais/data=!4m2!3m1!1s0x47e66e02b5a2c18d:0x53de5404fb492760,,
L'Ambroisie,,https://www.google.com/maps/place/L'Ambroisie/data=!4m2!3m1!1s0x47e671ffd6d9e42b:0x5ad576d2bc120abd,,
