Title,Note,URL,Tags,Comment
,,,,
Tony Nik's CAFE,,https://www.google.com/maps/place/Tony+Nik's+CAFE/data=!4m2!3m1!1s0x808580f16c3774eb:0x786186279f28a49,,
Giovanni Italian Specialties,,https://www.google.com/maps/place/Giovanni+Italian+Specialties/data=!4m2!3m1!1s0x808580f10b19e299:0xd8274791ae85e173,,
The Coffee Movement,,https://www.google.com/maps/place/The+Coffee+Movement/data=!4m2!3m1!1s0x808580f2dc1b33a1:0x1cb0bd8eb71079b1,,
Pork Store Cafe,,https://www.google.com/maps/place/Pork+Store+Cafe/data=!4m2!3m1!1s0x808580acc910b809:0x9387ec1e9c3c598d,,
Mama's Luncheonette,,https://www.google.com/maps/place/Mama's+Luncheonette/data=!4m2!3m1!1s0x808581ca5f3ee78d:0x547abf71546b0c8,,
Zeitgeist,,https://www.google.com/maps/place/Zeitgeist/data=!4m2!3m1!1s0x808f7e20423dcf53:0x95306ba1a91f0acd,,
Californios,,https://www.google.com/maps/place/Californios/data=!4m2!3m1!1s0x808f7e38c2f4f021:0x752aa9a19541656d,,
La Taqueria,,https://www.google.com/maps/place/La+Taqueria/data=!4m2!3m1!1s0x808f7e46d50136ad:0x21fce96ce541e475,,
Fool's Errand,,https://www.google.com/maps/place/Fool's+Errand/data=!4m2!3m1!1s0x808581b5f36c6f59:0x4e4dfc3de376a0ba,,
Key Klub,,https://www.google.com/maps/place/Key+Klub/data=!4m2!3m1!1s0x808581b282f79dc7:0x2ef1b989c9edc77,,
Sandy's,,https://www.google.com/maps/place/Sandy's/data=!4m2!3m1!1s0x8085813a66a23c17:0x4fdf3deb1373b9d6,,
Flour + Water,,https://www.google.com/maps/place/Flour+%2B+Water/data=!4m2!3m1!1s0x808f7e375e82560d:0x672c242d518603e0,,
Liholiho Yacht Club,,https://www.google.com/maps/place/Liholiho+Yacht+Club/data=!4m2!3m1!1s0x8085809226a75491:0xb16e391a9d832609,,
Yokai,,https://www.google.com/maps/place/Yokai/data=!4m2!3m1!1s0x808581d9c40ac23d:0xd3f3e0aaa3c6a759,,
Tiya,,https://www.google.com/maps/place/Tiya/data=!4m2!3m1!1s0x808581003c18be4b:0xb132b7d616339385,,
Nopa,,https://www.google.com/maps/place/Nopa/data=!4m2!3m1!1s0x808580afc823d4fd:0x58725c5c1643cf05,,
Lord Stanley,,https://www.google.com/maps/place/Lord+Stanley/data=!4m2!3m1!1s0x808580e99a9bd8bd:0x6fb8553da38ee20a,,
Rich Table,,https://www.google.com/maps/place/Rich+Table/data=!4m2!3m1!1s0x8085809f40b8fd87:0x7b5e765335d416ff,,
Mijoté,,https://www.google.com/maps/place/Mijot%C3%A9/data=!4m2!3m1!1s0x808f7f2d7fc8e2ff:0x3403dcab278df373,,
Snail Bar,,https://www.google.com/maps/place/Snail+Bar/data=!4m2!3m1!1s0x80857ffc138f81ff:0xe78b7b52d62de0a2,,
Absinthe Brasserie & Bar,,https://www.google.com/maps/place/Absinthe+Brasserie+%26+Bar/data=!4m2!3m1!1s0x8085809895883fd5:0x592c2acea68c6fe6,,
Rintaro,,https://www.google.com/maps/place/Rintaro/data=!4m2!3m1!1s0x808f7e26791dc281:0xe147a1d9e33e11d4,,
Colibri,,https://www.google.com/maps/place/Colibri/data=!4m2!3m1!1s0x8085808e51a45ef3:0x229c49fd51b56861,,
Swan Oyster Depot,,https://www.google.com/maps/place/Swan+Oyster+Depot/data=!4m2!3m1!1s0x8085809e8e89d111:0xe8ac4b9bfa4fbbd4,,
Che Fico,,https://www.google.com/maps/place/Che+Fico/data=!4m2!3m1!1s0x808580b04c6f5f6b:0x1b696f519a355c,,
