Title,Note,URL,Tags,Comment
,,,,
Little Dom's Seafood,,https://www.google.com/maps/place/Little+Dom's+Seafood/data=!4m2!3m1!1s0x80e90f332b5cbb0b:0xd4a9a37e3473cdab,,
Red Kettle Coffee,,https://www.google.com/maps/place/Red+Kettle+Coffee/data=!4m2!3m1!1s0x80e90df828310069:0x9b2367467e1e8873,,
Shoreline Cafe,,https://www.google.com/maps/place/Shoreline+Cafe/data=!4m2!3m1!1s0x80e9140a47210833:0x9878f6483b17856d,,
Lighthouse Coffee,,https://www.google.com/maps/place/Lighthouse+Coffee/data=!4m2!3m1!1s0x80e915c66e0192a5:0x8c33c64174d30776,,
Etty's Jewish Deli & Bakery,,https://www.google.com/maps/place/Etty's+Jewish+Deli+%26+Bakery/data=!4m2!3m1!1s0x80e91586fe693a5b:0x3f211463de87f3d2,,
Montecito Coffee Shop,,https://www.google.com/maps/place/Montecito+Coffee+Shop/data=!4m2!3m1!1s0x80e9125c748c65eb:0xe98b58213ad5e4a3,,
Santa Barbara Shellfish Company,,https://www.google.com/maps/place/Santa+Barbara+Shellfish+Company/data=!4m2!3m1!1s0x80e913f2a6797bf9:0xf1719b284dcac9a3,,
Pierre Lafond Montecito,,https://www.google.com/maps/place/Pierre+Lafond+Montecito/data=!4m2!3m1!1s0x80e9125c6c63c251:0x19c573da1d80ddd9,,
Honor Bar,,https://www.google.com/maps/place/Honor+Bar/data=!4m2!3m1!1s0x80e91249d7acaa3d:0x84c3026285c328e2,,
The Liquor & Wine Grotto,,https://www.google.com/maps/place/The+Liquor+%26+Wine+Grotto/data=!4m2!3m1!1s0x80e91249d34613fb:0xc410c627df0a75b8,,
Santa Barbara Hives,,https://www.google.com/maps/place/Santa+Barbara+Hives/data=!4m2!3m1!1s0x80e90f1a3fdbed2d:0x511302856cad63a7,,
