Title,Note,URL,Tags,Comment
,,,,
Laut,,https://www.google.com/maps/place/Laut/data=!4m2!3m1!1s0x31da19005f615adf:0xf4207426b566a32c,,
Book Bar,,https://www.google.com/maps/place/Book+Bar/data=!4m2!3m1!1s0x31da197eab7889c5:0x7dd9840f0bd5610a,,
bookstore bommoi,,https://www.google.com/maps/place/bookstore+bommoi/data=!4m2!3m1!1s0x31da198cfda4e071:0x3107527e5292df34,,
Littered with Books,,https://www.google.com/maps/place/Littered+with+Books/data=!4m2!3m1!1s0x31da196d5e2f11cd:0xf022711eb7b2dcee,,
The Bookstore by Books Beyond Borders,,https://www.google.com/maps/place/The+Bookstore+by+Books+Beyond+Borders/data=!4m2!3m1!1s0x31da19afee495ef7:0x9c24c7b815089b7d,,
Dumpling Darlings (Amoy Street),,https://www.google.com/maps/place/Dumpling+Darlings+(Amoy+Street)/data=!4m2!3m1!1s0x31da190b88e3fe5d:0x1d55682d13aa7b17,,
Sai Kitchen,,https://www.google.com/maps/place/Sai+Kitchen/data=!4m2!3m1!1s0x31da190057be5de3:0x4d8310c1c5d3224f,,
MERCI MARCEL CLUB STREET,,https://www.google.com/maps/place/MERCI+MARCEL+CLUB+STREET/data=!4m2!3m1!1s0x31da19a9b6cb0ba1:0xf48a1a8f9f59e528,,
POUT Rooftop Cafe,,https://www.google.com/maps/place/POUT+Rooftop+Cafe/data=!4m2!3m1!1s0x31da19968d48495d:0xf52494d8e8f2403b,,
Homeground Coffee Roasters,,https://www.google.com/maps/place/Homeground+Coffee+Roasters/data=!4m2!3m1!1s0x31da1955a1015bb1:0x41e975051c9dcbda,,
Nylon Coffee,,https://www.google.com/maps/place/Nylon+Coffee/data=!4m2!3m1!1s0x31da196c396db613:0x948ca58959acc615,,
Apartment Coffee,,https://www.google.com/maps/place/Apartment+Coffee/data=!4m2!3m1!1s0x31da19b3766f12c9:0x8f608d2a4ba4c0a5,,
Common Man Coffee Roasters - Stanley Street,,https://www.google.com/maps/place/Common+Man+Coffee+Roasters+-+Stanley+Street/data=!4m2!3m1!1s0x31da190d833ce4cd:0x72512cd920da6284,,
Muro Coffee Chinatown,,https://www.google.com/maps/place/Muro+Coffee+Chinatown/data=!4m2!3m1!1s0x31da192dff03d041:0xe51f3efd7f319780,,
THE COUP Bar on ANN SIANG HILL,,https://www.google.com/maps/place/THE+COUP+Bar+on+ANN+SIANG+HILL/data=!4m2!3m1!1s0x31da195b3a7b1ed9:0xeefdba8ad884d5b1,,
Cuvee Singapore,,https://www.google.com/maps/place/Cuvee+Singapore/data=!4m2!3m1!1s0x31da1b3e8e98d13f:0xe16546cbfb1dbd6e,,
JUICE,,https://www.google.com/maps/place/JUICE/data=!4m2!3m1!1s0x31da19878aff0efd:0xf9c27e29d5fdd8c,,
Kampong Glam,,https://www.google.com/maps/place/Kampong+Glam/data=!4m2!3m1!1s0x31da19b12d1cc9d7:0x97c9465447ac5f1d,,
Miyu,,https://www.google.com/maps/place/Miyu/data=!4m2!3m1!1s0x31da19672bd47b59:0xc6602d89ebcca962,,
The Dempsey Project,,https://www.google.com/maps/place/The+Dempsey+Project/data=!4m2!3m1!1s0x31da1b965382b3b9:0x8e3e3b4af7b492c4,,
The Dempsey Cookhouse and Bar,,https://www.google.com/maps/place/The+Dempsey+Cookhouse+and+Bar/data=!4m2!3m1!1s0x31da1a22d574471b:0x8e8ed57e08167e55,,
Le Bon Funk (Club Street),,https://www.google.com/maps/place/Le+Bon+Funk+(Club+Street)/data=!4m2!3m1!1s0x31da190ce6c39e55:0x30e4543a56f06b5d,,
Bar Cicheti,,https://www.google.com/maps/place/Bar+Cicheti/data=!4m2!3m1!1s0x31da19777792b08d:0xeed4728c0f4c7912,,
Big Wine Freaks,,https://www.google.com/maps/place/Big+Wine+Freaks/data=!4m2!3m1!1s0x31da190036a7e5b9:0x1993c8b45eeef34b,,
The Butcher's Wife,,https://www.google.com/maps/place/The+Butcher's+Wife/data=!4m2!3m1!1s0x31da196f50d3461d:0xd3f78d165747503,,
