Title,Note,URL,Tags,Comment
,,,,
Wine Bar Akai Mise,,https://www.google.com/maps/place/Wine+Bar+Akai+Mise/data=!4m2!3m1!1s0x60188b86e63fbb61:0x34d38c4922d54cbe,,
DENHAM,,https://www.google.com/maps/place/DENHAM/data=!4m2!3m1!1s0x60188b4f86c3ee61:0xc3e5144a048f5c0b,,
Gyukatsu Motomura (Shibuya Branch),,https://www.google.com/maps/place/Gyukatsu+Motomura+(Shibuya+Branch)/data=!4m2!3m1!1s0x60188b597868619f:0x7c65d128da208a9c,,
Dive to Wine,,https://www.google.com/maps/place/Dive+to+Wine/data=!4m2!3m1!1s0x60188c98db9539e7:0x29d70545c3095c88,,
Vin Nature a,,https://www.google.com/maps/place/Vin+Nature+a/data=!4m2!3m1!1s0x60188971d14d261d:0xe13855fd5f0c4964,,
WINEMAN FACTORY(ワインマンファクトリー),,https://www.google.com/maps/place/WINEMAN+FACTORY(%E3%83%AF%E3%82%A4%E3%83%B3%E3%83%9E%E3%83%B3%E3%83%95%E3%82%A1%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC)/data=!4m2!3m1!1s0x60188bb975fb7829:0xc182ed3c30de2f5a,,
no.501,,https://www.google.com/maps/place/no.501/data=!4m2!3m1!1s0x60188c985ab3350d:0xfb9d2aff2ac8de8d,,
Champagne & Gyoza Bar STAND-CHAM-SHOKU,,https://www.google.com/maps/place/Champagne+%26+Gyoza+Bar+STAND-CHAM-SHOKU/data=!4m2!3m1!1s0x60188b8754ef37f9:0x39c4fc5189b71ef0,,
FULLCOUNT TOKYO SHOP,,https://www.google.com/maps/place/FULLCOUNT+TOKYO+SHOP/data=!4m2!3m1!1s0x60188ca30928a96d:0x3c41cadf57b74df6,,
JAPAN BLUE JEANS Shibuya,,https://www.google.com/maps/place/JAPAN+BLUE+JEANS+Shibuya/data=!4m2!3m1!1s0x60188ca6612cb613:0x154aa501e24d0826,,
Harajuku Gyozaro,,https://www.google.com/maps/place/Harajuku+Gyozaro/data=!4m2!3m1!1s0x60188ca46f48ab17:0x8b30eb7879902bda,,
Virtus wine,,https://www.google.com/maps/place/Virtus+wine/data=!4m2!3m1!1s0x60188c97e58e98f7:0x88a2132c4bb0f646,,
Gentil,,https://www.google.com/maps/place/Gentil/data=!4m2!3m1!1s0x60188b7a4f3f9209:0x3896879f9e28e00c,,
apollo,,https://www.google.com/maps/place/apollo/data=!4m2!3m1!1s0x6018f36a4622aaff:0xbcda60dc07d5d2a3,,
Have a good time,,https://www.google.com/maps/place/Have+a+good+time/data=!4m2!3m1!1s0x60188b4617f9068f:0xac56c6a7e4d33bdb,,
Kyu Asakura House,,https://www.google.com/maps/place/Kyu+Asakura+House/data=!4m2!3m1!1s0x60188b4f65cb423d:0xa4caa0d8de04ffb2,,
WHITE GLASS COFFEE,,https://www.google.com/maps/place/WHITE+GLASS+COFFEE/data=!4m2!3m1!1s0x60188b634ce6c761:0xc4430d3a61aa4478,,
Shōan Bunko,,https://www.google.com/maps/place/Sh%C5%8Dan+Bunko/data=!4m2!3m1!1s0x6018ee10ea0fbe07:0xf2531fae71db5f9d,,
Maison Kitsuné Daikanyama Store,,https://www.google.com/maps/place/Maison+Kitsun%C3%A9+Daikanyama+Store/data=!4m2!3m1!1s0x60188b4f8cf90ecd:0x654bc3fc6022f7df,,
Jantiques,,https://www.google.com/maps/place/Jantiques/data=!4m2!3m1!1s0x60188b49896eaaab:0x659aed9a3cc15912,,
Green Bean to Bar Chocolate | Nakameguro,,https://www.google.com/maps/place/Green+Bean+to+Bar+Chocolate+%7C+Nakameguro/data=!4m2!3m1!1s0x60188b5266dc0001:0xbf11f4458ff144d6,,
GLITCH COFFEE & ROASTERS,Coffee,https://www.google.com/maps/place/GLITCH+COFFEE+%26+ROASTERS/data=!4m2!3m1!1s0x60188c10220a160f:0x35f993cfcdeac949,,
Sidewalk Stand,,https://www.google.com/maps/place/Sidewalk+Stand/data=!4m2!3m1!1s0x60188b4e7c440001:0xff47a7b0f270ee9,,
Ｔｈｅｓｅ,,https://www.google.com/maps/place/%EF%BC%B4%EF%BD%88%EF%BD%85%EF%BD%93%EF%BD%85/data=!4m2!3m1!1s0x60188b7ad1d2e07d:0x4a1ca7f4bb217551,,
AMERICAYA,,https://www.google.com/maps/place/AMERICAYA/data=!4m2!3m1!1s0x60188e9fb0c523ab:0xb05391fae3ec77c4,,
Samurai Jeans,,https://www.google.com/maps/place/Samurai+Jeans/data=!4m2!3m1!1s0x6000e683432ef051:0x36f9dcc3bbaa448e,,
The Flat Head,,https://www.google.com/maps/place/The+Flat+Head/data=!4m2!3m1!1s0x60188ca32b5524e9:0xdc2a5ad2325f0d7a,,
MOMOTARO JEANS Aoyama,,https://www.google.com/maps/place/MOMOTARO+JEANS+Aoyama/data=!4m2!3m1!1s0x60188b5ff62dc42d:0xe65fa7032da1d5d1,,
Sugahara Pho,,https://www.google.com/maps/place/Sugahara+Pho/data=!4m2!3m1!1s0x6018f35578e887fb:0x954383f15aa4faa5,,
AURELIO,,https://www.google.com/maps/place/AURELIO/data=!4m2!3m1!1s0x60188caa605a8f37:0x8acda31a19389b08,,
Sanita,Wine bar,https://www.google.com/maps/place/Sanita/data=!4m2!3m1!1s0x6018f392fce7d1db:0x7a38de6783868782,,
Minedenim,Denim,https://www.google.com/maps/place/Minedenim/data=!4m2!3m1!1s0x60188c9841d70eab:0x80896f8c7449838d,,
Pure Blue Japan,Jeans ,https://www.google.com/maps/place/Pure+Blue+Japan/data=!4m2!3m1!1s0x60188ca2afdfd651:0x6fe673b91613b13e,,
HYPEGOLF 代官山,,https://www.google.com/maps/place/HYPEGOLF+%E4%BB%A3%E5%AE%98%E5%B1%B1/data=!4m2!3m1!1s0x60188b47fa19dea3:0x8a36e79f8d07563f,,
DAIKANYAMA T-SITE,Amazing bookstore ,https://www.google.com/maps/place/DAIKANYAMA+T-SITE/data=!4m2!3m1!1s0x60188b4fc8d5af95:0xebb6582cbc3d21ac,,
THE CONRAN SHOP Shinjuku,,https://www.google.com/maps/place/THE+CONRAN+SHOP+Shinjuku/data=!4m2!3m1!1s0x6018f32d2c7f9779:0x785f9ae06107b9b6,,
The Harvest Kitchen General Store,,https://www.google.com/maps/place/The+Harvest+Kitchen+General+Store/data=!4m2!3m1!1s0x60188b3fee0654fd:0xb51c7effb2aa77b4,,
NIKKO SHOWROOM/STORE,,https://www.google.com/maps/place/NIKKO+SHOWROOM%2FSTORE/data=!4m2!3m1!1s0x60188d6e13165117:0x4a36f654e400523f,,
Standard Products,,https://www.google.com/maps/place/Standard+Products/data=!4m2!3m1!1s0x60188b9e17eef903:0xd264c9983ecf5eb4,,
AKOMEYA TOKYO in la kagū,,https://www.google.com/maps/place/AKOMEYA+TOKYO+in+la+kag%C5%AB/data=!4m2!3m1!1s0x60188c563f42f5d9:0xc0c9fa7e92ef5a5,,
CASICA,,https://www.google.com/maps/place/CASICA/data=!4m2!3m1!1s0x601888255e4fbbbd:0xfae716963c1f2109,,
Farmers' Table,,https://www.google.com/maps/place/Farmers'+Table/data=!4m2!3m1!1s0x60188b3f7e3cfb33:0xdc86f3410927ce0b,,
Kappabashi Dougu Street,,https://www.google.com/maps/place/Kappabashi+Dougu+Street/data=!4m2!3m1!1s0x60188e95e87e855d:0x214435b365c89bf3,,
Kabi,,https://www.google.com/maps/place/Kabi/data=!4m2!3m1!1s0x60188b2501f79b07:0x4a21d676ce503b40,,
Sumibi Yakiniku Nakahara,,https://www.google.com/maps/place/Sumibi+Yakiniku+Nakahara/data=!4m2!3m1!1s0x60188c6108c45999:0xba88b3cc576ce5b4,,
Nakameguro,,https://www.google.com/maps/place/Nakameguro/data=!4m2!3m1!1s0x60188b382f36ab01:0xaa463fc3c5ac293a,,
