name,website,website_platform,menu_present,menu_format,reservation_platform,ordering_platform,instagram_present,newsletter_present,careers_present,events_private_dining_present,sibling_entities_present,gift_cards_present,image_density,fetch_status
Bavel,https://baveldtla.com/,wordpress,true,html,opentable,toast,true,true,true,true,false,true,medium,200
Donna's,https://www.donnasla.com/,squarespace,true,html,resy,toast,true,true,false,true,false,true,low,200
Restaurant Ki,https://restaurantki.com/,unknown,true,html,tock,none,false,false,false,false,false,false,low,200
Chi Spacca,http://www.chispacca.com/,bentobox,true,html,resy,toast,true,true,true,true,false,true,high,200
Mori Nozomi,https://www.morinozomi.com/,wix,true,external,tock,none,false,true,false,true,true,false,low,200
Santa Canela,http://www.santacanela.com/,squarespace,true,html,none,none,true,true,false,true,false,false,high,200
Alba Los Angeles,https://www.cucinaalba.com/,bentobox,true,html,resy,toast,true,true,true,true,false,true,low,200
Lasa,http://www.lasita-la.com/,squarespace,true,html,none,toast,true,true,false,true,false,true,high,200
Anajak Thai,http://www.anajakthai.com/,wordpress,true,html,opentable,square,true,false,false,true,false,true,low,200
Sunset Tower Hotel,http://www.sunsettowerhotel.com/,squarespace,true,html,opentable,none,true,true,true,true,true,true,high,200
Downtown L.A. Proper Hotel,https://www.properhotel.com/downtown-la/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,wordpress,true,html,opentable,none,true,true,true,true,true,true,high,200
Santa Monica Proper,https://www.properhotel.com/santa-monica/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,wordpress,true,html,opentable,none,true,true,true,true,true,true,high,200
Tomat,http://www.tomat.la/,wix,true,html,resy,square,true,true,true,true,true,true,low,200
Gjelina,http://www.gjelina.com/,bentobox,true,html,resy,toast,true,true,true,true,true,true,medium,200
Somni,http://www.somnirestaurant.com/,unknown,true,html,resy,none,true,true,true,true,false,false,high,200
Great White,http://greatwhitevenice.com/,squarespace,true,html,resy,none,true,true,false,true,false,false,high,200
Bridgetown Roti,http://www.bridgetownroti.com/,bentobox,true,html,resy,square,true,true,false,true,false,true,medium,200
