Name,Address,City,Neighborhood,Category,Description
The Strand House,117 The Strand,Manhattan Beach,The Strand,Fine Dining,Ocean views with California coastal cuisine
Salt & Pearl,1796 S Catalina Ave,Redondo Beach,Riviera Village,Seafood,Fresh seafood and steaks near the pier
Jame Enoteca,837 N Douglas St,El Segundo,Downtown,Italian,Modern Italian with house-made pasta specialties
Little Sister,523 N Douglas St,El Segundo,Downtown,Vietnamese,Vibrant Vietnamese flavors in trendy setting
Porterhouse,523 N Douglas St,El Segundo,Downtown,Steakhouse,Prime cuts and craft cocktails
Kagura,2138 Sawtelle Blvd,El Segundo,Downtown,Japanese,Authentic tonkatsu with crispy perfection
Jaime Taqueria,142 Richmond St,El Segundo,Downtown,Mexican,Fresh tacos and authentic Mexican street food
Nick's Manhattan Beach,1550 Rosecrans Ave,Manhattan Beach,Sand Section,Seafood,Classic seafood house since 1965
Fishing with Dynamite,1148 Manhattan Ave,Manhattan Beach,Downtown,Seafood,Oyster bar with Pacific Coast specialties
Simmzy's,229 Manhattan Beach Blvd,Manhattan Beach,Downtown,American,Craft beer and elevated pub fare
Love & Salt,317 Manhattan Beach Blvd,Manhattan Beach,Downtown,Modern American,Farm-to-table with California coastal influences
The Kettle,1138 Highland Ave,Manhattan Beach,Sand Section,American,24-hour comfort food and breakfast classics
Mediterraneo,1037 Manhattan Ave,Manhattan Beach,Downtown,Mediterranean,Fresh Mediterranean flavors and wood-fired pizzas
Lares,2909 Highland Ave,Manhattan Beach,Sand Section,Mexican,Family-owned Mexican with oceanside patio
mb Post,1142 Manhattan Ave,Manhattan Beach,Downtown,Modern American,Contemporary dining with seasonal menu focus
Shellback Tavern,116 Manhattan Beach Blvd,Manhattan Beach,Downtown,Seafood,Nautical-themed with fresh daily catches
The Strand House Rooftop,117 The Strand,Manhattan Beach,The Strand,Cocktails,Rooftop bar with stunning ocean panoramas
Good Stuff Restaurant,1286 The Strand,Manhattan Beach,The Strand,American,Beachside breakfast and lunch spot
Petros,451 Manhattan Beach Blvd,Manhattan Beach,Downtown,Greek,Authentic Greek cuisine and Mediterranean wines
Tin Roof Bistro,34 Manhattan Beach Blvd,Manhattan Beach,Downtown,French,Cozy French bistro with neighborhood charm
Hermosa Fish Shop,1223 Hermosa Ave,Hermosa Beach,Downtown,Seafood,Fresh fish market and casual dining
Baja Sharkeez,3801 Highland Ave,Manhattan Beach,Sand Section,Mexican,Beach bar with Mexican eats
The Lighthouse Cafe,30 Pier Ave,Hermosa Beach,Pier,American,Historic jazz venue with comfort food
Fritto Misto,316 Pier Ave,Hermosa Beach,Pier,Italian,Authentic Italian with ocean proximity
Tower 12,1221 The Strand,Hermosa Beach,The Strand,American,Beachfront dining with California casual vibes
Martha's 22nd Street Grill,25 22nd St,Hermosa Beach,Sand Section,American,Local favorite for burgers and brews
OB Bear,1253 Hermosa Ave,Hermosa Beach,Downtown,American,Sports bar with elevated comfort food
Poop Deck,1272 The Strand,Hermosa Beach,The Strand,Seafood,Casual beachfront with fresh fish specialties
Hennessey's Tavern,8 Pier Ave,Hermosa Beach,Pier,Irish,Irish pub atmosphere with hearty fare
Sharkeez Hermosa,16 Pier Ave,Hermosa Beach,Pier,Mexican,Beach party spot with Mexican favorites
Captain Kidd's Fish Market,209 N Harbor Dr,Redondo Beach,Harbor,Seafood,Fresh catch market and casual restaurant
Quality Seafood,130 International Boardwalk,Redondo Beach,Harbor,Seafood,Dockside dining with harbor views
Kincaid's Fish Chop & Steakhouse,500 Fishermans Wharf,Redondo Beach,Harbor,Seafood,Upscale seafood overlooking the marina
Zazou,1810 S Catalina Ave,Redondo Beach,Riviera Village,French,Intimate French bistro with romantic ambiance
Chez Melange,1716 S Catalina Ave,Redondo Beach,Riviera Village,Eclectic,Global fusion in artistic setting
Naja's Place,154 International Boardwalk,Redondo Beach,Harbor,Lebanese,Authentic Lebanese with harbor proximity
Tony's Little Star Pizza,1411 S Catalina Ave,Redondo Beach,Riviera Village,Pizza,Deep dish Chicago-style pizza house
Bluewater Grill,665 N Harbor Dr,Redondo Beach,Harbor,Seafood,Sustainable seafood with waterfront views
The Original Pancake House,1756 S Catalina Ave,Redondo Beach,Riviera Village,Breakfast,Classic breakfast and pancake specialties
Riviera Mexican Grill,1615 S Catalina Ave,Redondo Beach,Riviera Village,Mexican,Fresh Mexican with neighborhood feel
Blue Moon Saloon,207 N Harbor Dr,Redondo Beach,Harbor,American,Waterfront bar with live music scene
Second City Bistro,223 N Harbor Dr,Redondo Beach,Harbor,American,Casual bistro near the water
Rock'N Fish,120 Manhattan Beach Blvd,Manhattan Beach,Downtown,Seafood,Lively seafood with New Orleans flair
Scotty's Broiler,106 Fisherman's Wharf,Redondo Beach,Harbor,Seafood,Harbor views with fresh Pacific catches
Il Fornaio,1800 Rosecrans Ave,Manhattan Beach,Rosecrans,Italian,Northern Italian chain with fresh pastas
The Habit Burger Grill,1821 Hawthorne Blvd,Redondo Beach,South Bay,Burgers,California-style charburgers and fresh ingredients
In-N-Out Burger,9149 S Sepulveda Blvd,Manhattan Beach,Sepulveda,Burgers,California's beloved burger institution
Wahoo's Fish Taco,1129 Manhattan Ave,Manhattan Beach,Downtown,Mexican,California-Mexican fusion with surf culture
The Bowery Bar,2334 Main St,El Segundo,Downtown,American,Gastropub with craft cocktails selection
