id,slug,name,website,google_place_id,instagram,neighborhood
029eb806-0c5a-4e29-8b23-b254718e44e3,dunsmoor,Dunsmoor,,ChIJQxbwUsHBwoARqt0NKxponhU,,
177a7c36-bb22-4252-b6c1-7d422e8a7742,unknown-177a7c36,Neutra VDL Studio and Residences,,ChIJgYJdky7HwoARYDypEBsMIJU,,
5933d98f-6e09-487f-98f2-b8177693c102,unknown-5933d98f,The Huntington Library Art Museum and Botanical Gardens,,ChIJc1xhAk3bwoARBBlfKQzXKLM,,
9312c6e6-0921-4822-bb6b-e3a9ab4ffb55,eightfold-coffee,Eightfold Coffee,https://eightfoldcoffee.square.site/,ChIJjxBGwf3GwoARaszNbZnssKg,,Echo Park
0a5864db-e933-4740-a91b-c1936ee33620,holbox-restaurant-1-mercado-la-paloma-#1-on-la-times-101-2025,Holbox,http://www.holboxla.com/,ChIJMc9-jgrIwoARvFaE32ZlJzA,,
077bb2b8-3a0b-44b2-a9dd-4e5915809a5b,chengdu-taste-restaurant-4-iconic-sgv-sichuan-essential,"Chengdu Taste,restaurant,4-iconic,SGV Sichuan essential",,ChIJfexi_j7FwoARBvFOjLFRM7I,,
6c7e44dd-07ba-4a78-8b72-51787b023b24,vespertine-restaurant-2-michelin-2-michelin-stars-jordan-kahn,Vespertine,https://vespertine.la/,ChIJVd04SYW5woAROE52K0dXeYE,,
b249d0f2-aa3b-44e1-8cfd-07308ca73c7d,la-fe,La Fe,https://lafeonsunset.com/,ChIJERg-8mnHwoARVLDwPHHG26A,,Echo Park
84055ba2-0249-45a4-82a2-97d6c9267056,restaurant-jardin-silhouette,Restaurant Jardin Silhouette,https://www.hotel-silhouette-biarritz.com/,ChIJO1B5H69rUQ0RqebvKy3j5yU,null,null
99f828b8-e70f-4cee-b86f-eaf155958548,bar-leather-apron-downtown,Bar Leather Apron,http://www.barleatherapron.com/,ChIJTd6rUXNuAHwRD0iI21iD3AM,null,Downtown
3c9d8a08-a6c7-4a1a-a358-46e3eab15faf,unknown-3c9d8a08,Natural History Museum of Los Angeles County,,ChIJXzARBf3HwoARJyT7uZSV-G4,,
756d9e98-8ddd-4c51-a519-2d5f7c408d83,unknown-756d9e98,Heritage Square Museum,,ChIJ7Yhdw5zGwoARMQi5JDOtpuE,,
571c08b9-10ee-49bb-bcbe-8402ab599679,alejandra-s-quesadilla-cart-de-oaxaca,Alejandra's Quesadilla Cart de Oaxaca,,ChIJaT4PZsXHwoARS-vewm09HHo,,Echo Park
0a4098fd-88b9-44df-8a62-6cd79e1bb6a5,senia-downtown,Senia,http://www.restaurantsenia.com/,ChIJRZadjXNuAHwRQ0l2_ic2glc,null,Downtown
1cfb2fe0-6a19-464a-8d42-50d83cd11c7f,jon-and-vinny-s-restaurant-1-fairfax-massive-editorial-coverage,"Jon & Vinny's,restaurant,1,Fairfax - massive editorial coverage",,,,
b126fe54-b52c-432e-a4ed-75aeeff83bd9,unknown-b126fe54,Bradbury Building,,ChIJBYuC8kvGwoAROxBTjwqfWpU,,
e98bad96-dd5b-4e75-8af4-33f75e947ae1,unknown-e98bad96,"Jitlada,restaurant,4-iconic,Thai Town legend",,ChIJsR6mEFS_woAR-bYcpwWGTSg,,
a9f74efa-4129-488f-ab26-8952770f70c3,the-breakers-palm-beach,The Breakers Palm Beach,https://www.thebreakers.com/,ChIJZcTxw5DW2IgREnhgYXc3igo,null,null
6ff03197-4613-41f1-99cd-0021e1b2019c,camélia-restaurant-3-hot2025-french-japanese-bon-appétit-2025,Camélia,https://cameliadtla.com/,ChIJp01x8r7HwoARHdyVH9NySTs,,
4c16c305-f557-4108-9ff8-0e554bbb822b,kuya-lord-restaurant-3-hot2025-james-beard-winner-filipino,Kuya Lord,https://kuyalord.com/,ChIJx-fAMlC5woAR4sMclHgF3NA,,
01740682-da38-46ac-bb5c-151bb52a2dce,go-get-em-tiger-coffee-6-coffee-multiple-locations,"Go Get Em Tiger,coffee,6-coffee,Multiple locations",,,,
dd6c07c1-713f-4ff2-84f1-0d37bacd7e95,zankou-chicken-restaurant-4-iconic-iconic-la-chain,"Zankou Chicken,restaurant,4-iconic,Iconic LA chain",,,,
9d00545a-819b-4915-b1e6-2fab555fb7d0,gold-diggers-hotel-hotel-boutique-east-hollywood-music-venue-bar-hotel-hybrid-18,"Gold Diggers,hotel,hotel-boutique,East Hollywood - music venue/bar/hotel hybrid - 18.4 rating",,ChIJRzgRy3-5woARAjIJY4NIfPk,,
8ef6fda7-99f1-4547-9a4c-7b6ee55f1bd8,musso-and-frank-grill-restaurant-1-hollywood-institution-since-1919,"Musso & Frank Grill,restaurant,1,Hollywood institution since 1919",,ChIJaZ3OWSO_woARSF1VduqxGgY,,
5eb49a8b-d778-4ace-a159-375c228230c8,barranco-s-fruit,Barranco's Fruit,,ChIJy5TEdG3WwoARLZGdFN0MMqg,,
f3f5b567-12ef-4c67-a835-c3f2fe43cb61,bridgetown-roti-east-hollywood,Bridgetown Roti,http://www.bridgetownroti.com/,ChIJne7Az-rHwoARQhCf1NoVpsY,,East Hollywood
22c98e53-0a12-4ca8-b4cf-a5aaf7f47e74,night-market-weho-sunset-strip,Night + Market Weho,http://www.nightmarketsong.com/,ChIJ93f0oKG-woAR1g08r2EtyRY,,Sunset Strip
c551ebe6-7ce5-40f9-8f35-56148a186095,langer-s-delicatessen-restaurant-1-iconic-pastrami-jonathan-gold-hall-of-fame,"Langer's Delicatessen,restaurant,1,Iconic pastrami - Jonathan Gold Hall of Fame",,,,
91b3e966-d7ce-4a15-b728-772f46c8bd99,ace-hotel-downtown-los-angeles-hotel-hotel-neighborhood-restored-historic-dtla-b,"Ace Hotel Downtown Los Angeles,hotel,hotel-neighborhood,Restored historic DTLA building - rooftop",,,,
6e61406d-e9a4-4f6e-b5de-4c539773419f,cara-hotel-hotel-hotel-boutique-laid-back-modern-boutique-los-feliz-near-griffit,Cara Hotel,http://carahotel.com/,ChIJ_72WeFC_woARaXeiD_y7hy8,,
1f7e38d6-90e6-48b5-b519-a0502a267d1c,alan-wong-s-honolulu-mccully-moiliili,Alan Wong's Honolulu,https://www.alanwongs.com/,ChIJd6nRF5NtAHwRpwT4MbZic1c,null,McCully - Moiliili
2b2d6377-85b1-4bf0-b9ac-2727bedbc702,unknown-2b2d6377,Culver City Plunge,,ChIJDYcpnCO6woARQTFzB5-oe2U,,
e0eaf146-b074-4222-8027-6872463da231,taormina-sicilian-cuisine-waikiki,Taormina Sicilian Cuisine,http://taorminarestaurant.com/,ChIJ5W-jcHVyAHwRaGm6iJsz26Y,null,Waikiki
407fd6dc-1ca3-4b3d-a023-e302ef0e88b6,coucou-french-classes-la,Coucou French Classes LA,http://coucoufrenchclasses.com/la,ChIJc3Tj3zrBwoARyeBwjUdMKB4,,
72b31ba2-5081-4417-a129-a4fd1c295283,cookbook-market-echo-park-echo-park,Cookbook Market - Echo Park,http://www.cookbookla.com/,ChIJu7pgbh7HwoARFzTtEnYYM4Y,,
24e266d3-35c4-48a3-bec4-4986bc264033,n-naka-restaurant-2-michelin-2-michelin-stars-kaiseki,n/naka,https://n-naka.com/,ChIJb7GeyDS6woAROVvLEUiLZEk,,
8e05af40-46d5-4fc1-ae34-e20e8dfdd810,bar-covell-wine-bar-5-wine-bar-los-feliz,"Bar Covell,wine bar,5-wine-bar,Los Feliz",http://www.barcovell.com/,ChIJD2HKqa3AwoAR8JTi02ZS2Hc,,Los Feliz
9d15ef39-88a6-418f-9529-156e8ca038bc,leo-s-tacos-truck,Leo's Tacos Truck,http://www.leostacostruck.com/,ChIJdXWFXL7HwoARKe_whoFiTwM,,Echo Park
048ab187-5259-4718-bae3-3ad6f7239311,silver-lake-pool-and-inn-hotel-hotel-boutique-relaxed-organic-vibe-silver-lake-e,Silver Lake Pool & Inn,https://www.palisociety.com/hotels/silverlake,ChIJB7x_3E7HwoARby2w2st4Mwg,,
677af507-3b52-4182-8b68-5b014a1f04dc,canyon-coffee,Canyon Coffee,https://canyoncoffee.co/,ChIJXTqttEHHwoARFC6wPoE4fOU,,Echo Park
5af44f91-e94d-41a8-a44f-b7d67d9a6fc8,dan-tanas,Dan Tana's,,ChIJreK-k6i-woARSyd335Nkcr0,,
3d9fb043-4168-4e65-b4ec-088c0a7073b5,buvons,Buvons,,,,
793dfcc5-6c68-4b47-9dae-f0bc2614a1ef,covell,Bar Covell,,,,
52ef2e78-1399-4060-81d6-0a44cc0ef588,the-airliner,The Airliner,http://barairliner.com/,ChIJ6YtcQn3GwoARkgfd3-CG0rQ,,
e248e6bf-328c-4096-bf52-e375c5a0427d,republique-restaurant-1-la-brea-eater-lat-infatuation-fixture,"Republique,restaurant,1,La Brea - Eater/LAT/Infatuation fixture",,,,
183ec1f5-4f3d-4ea9-af3c-2dd28e01379d,union-liquor-market-westlake,Union Liquor Market,,ChIJAwgTXgjHwoARJ8Zj9BQYOwA,,
38fe6668-9b1f-4a80-a6ea-0a3f5aea09a7,unknown-38fe6668,Malibu Pier,,ChIJw2kMtyse6IAR8CFmW_6h-_U,,
a2161ce0-e112-4a6d-8ba1-b4279b69718b,the-pig-and-the-lady-kaimuki,The Pig and The Lady,http://thepigandthelady.com/,ChIJf_g4jXNuAHwRxwKtprB4Ojw,null,Kaimuki
ccd87c4d-aba6-4b63-86b4-f0799c67916d,yangban-society-restaurant-4-iconic-korean-american-arts-district,"Yangban Society,restaurant,4-iconic,Korean-American - Arts District",,,,
d09cb3f9-b1dd-4142-a381-524ed1ceeb63,jitlada-restaurant-4-iconic-thai-town-legend,"Jitlada,restaurant,4-iconic,Thai Town legend",,,,
f01cf5b0-0cd7-4da8-bfad-bf4fd3a645ae,osteria-mozza-restaurant-1-michelin-star-nancy-silverton,"Osteria Mozza,restaurant,1,Michelin star - Nancy Silverton",,ChIJBacpEtO4woAR8TxewBOIolo,,
b42cd552-51fb-45c4-b12e-6b0598147817,ototo,OTOTO,http://www.ototo.la/,ChIJB5MRik3HwoARFvZmDC7gi2I,,Echo Park
fcfd0d6c-f53b-4eee-8155-b85c47482bea,bestia-restaurant-1-arts-district-italian-perennial-every-list-staple,"Bestia,restaurant,1,Arts District Italian - perennial every-list staple",,ChIJSRvZ1yHGwoARcLrfvc-APl4,,
456efc3e-2104-46da-a99a-e6b8235e0ef4,dumpling-darlings-amoy-street,Dumpling Darlings (Amoy Street),http://www.dumplingdarlings.com.sg/,ChIJXf7jiAsZ2jERF3uqEy1oVR0,null,null
5b7286ff-cbbe-488b-b395-a41b1977a0c1,laverie-jaulerry,Laverie jaulerry,http://www.laverie-biarritz.fr/,ChIJFXuHLihrUQ0REFewNwWPHlQ,null,null
fcee10ac-e9bc-4f36-9ec9-b4c90c781af8,orsa-and-winston-restaurant-2-michelin-1-michelin-star-italian-japanese-dtla,"Orsa & Winston,restaurant,2-michelin,1 Michelin star - Italian-Japanese DTLA",,ChIJh9W-NkrGwoARmn2KQbXkdhg,,
3a6281a1-3b69-4fcb-ac1d-eb4c99be5e39,unknown-3a6281a1,"Intelligentsia Coffee,coffee,6-coffee,Silverlake/Pasadena",,ChIJ763W4UjHwoARhP2LIuCn2dU,,
59eb5040-1690-4f26-b463-041855c99174,baby-bistro-restaurant-3-hot2025-restaurant-of-the-year-contender-echo-park,Baby Bistro,https://babybistrola.com/,ChIJpboOd2HHwoAR0kwNDqK4cgw,,Echo Park
a6b960af-334c-41dd-9d9b-34601fba00d1,car-e-tjdz,Carøe,null,,null,null
cb7e6aef-4ed2-4c90-aa11-c92f5c5fef24,8540-s-sepulveda-blvd-westchester,8540 S Sepulveda Blvd,,ChIJ3Vl5CM2wwoARH3ZCjzo_lOI,,
3cd72c30-fc68-45aa-885a-f25c1bf2fae4,endorffeine-coffee-6-coffee-arts-district,Endorffeine,http://endorffeine.coffee/,ChIJsTjh9VrGwoARfOkMqZCZRXQ,,
2959e986-5f6d-49d6-8649-b5ce03272e27,unknown-2959e986,Venice Beach Basketball Courts,,ChIJ-YGylLm6woARWAySgUQblFg,,
fe963d2b-9c00-4ed9-ac9a-9abcd665df0a,pizzeria-mozza-restaurant-1-nancy-silverton-pizza-empire,"Pizzeria Mozza,restaurant,1,Nancy Silverton pizza empire",,ChIJbWvuoNO4woARx2Xy5MvJ138,,
