Title,Note,URL,Tags,Comment
,,,,
Little Fish Echo Park,,https://www.google.com/maps/place/Little+Fish+Echo+Park/data=!4m2!3m1!1s0x80c2c7117e3b6709:0xef0f7b27649b0d5e,,
DADA ECHO PARK,,https://www.google.com/maps/place/DADA+ECHO+PARK/data=!4m2!3m1!1s0x80c2c7927616ef8d:0x47662b1bdbe5ac26,,
Alejandra's Quesadilla Cart de Oaxaca,,https://www.google.com/maps/place/Alejandra's+Quesadilla+Cart+de+Oaxaca/data=!4m2!3m1!1s0x80c2c7c5660f3e69:0x7a1c3d6dc2deeb4b,,
"Men & Beasts | Modern Chinese Restaurant & Tea Lounge - Los Angeles, CA",,"https://www.google.com/maps/place/Men+%26+Beasts+%7C+Modern+Chinese+Restaurant+%26+Tea+Lounge+-+Los+Angeles,+CA/data=!4m2!3m1!1s0x80c2c7b1ce112717:0xe88400c0e61a10c0",,
The Hummingbird | Ceviche House,,https://www.google.com/maps/place/The+Hummingbird+%7C+Ceviche+House/data=!4m2!3m1!1s0x80c2c7005af8df4d:0xacab2be60b626ddc,,
Cookbook Market - Echo Park,,https://www.google.com/maps/place/Cookbook+Market+-+Echo+Park/data=!4m2!3m1!1s0x80c2c71e6e60babb:0x8633187612ed3417,,
Canyon Coffee,,https://www.google.com/maps/place/Canyon+Coffee/data=!4m2!3m1!1s0x80c2c741b4ad3a5d:0xe57c38813eb02e14,,
Laveta,,https://www.google.com/maps/place/Laveta/data=!4m2!3m1!1s0x80c2c762586ee899:0x9b38adc3a8400db1,,
Clark Street Bakery,,https://www.google.com/maps/place/Clark+Street+Bakery/data=!4m2!3m1!1s0x80c2c76472557fc3:0xcde35f4f34c95fe3,,
Grá,,https://www.google.com/maps/place/Gr%C3%A1/data=!4m2!3m1!1s0x80c2c7e777f891df:0x55e52a4c22bbe52b,,
Leo's Tacos Truck,,https://www.google.com/maps/place/Leo's+Tacos+Truck/data=!4m2!3m1!1s0x80c2c7be5c857575:0x34f628186f0ef29,,
Granada,,https://www.google.com/maps/place/Granada/data=!4m2!3m1!1s0x80c2c71a4e71f16f:0xd70ae77a39dcf2e6,,
Bia Om,,https://www.google.com/maps/place/Bia+Om/data=!4m2!3m1!1s0x80c2c785f6621637:0xd2b0d12fe78f8d08,,
Eightfold Coffee,,https://www.google.com/maps/place/Eightfold+Coffee/data=!4m2!3m1!1s0x80c2c6fdc146108f:0xa8b0ec996dcdcc6a,,
OTOTO,,https://www.google.com/maps/place/OTOTO/data=!4m2!3m1!1s0x80c2c74d8a119307:0x628be02e0c66f616,,
The Douglas,,https://www.google.com/maps/place/The+Douglas/data=!4m2!3m1!1s0x80c2c72016f23e7d:0xc4aea59468721539,,
Quarter Sheets,,https://www.google.com/maps/place/Quarter+Sheets/data=!4m2!3m1!1s0x80c2c74b71342345:0x4b7dafd04256cbe6,,
Lowboy,,https://www.google.com/maps/place/Lowboy/data=!4m2!3m1!1s0x80c2c761e0c0ba19:0xb466e2d6e7e128a5,,
Honey Hi,,https://www.google.com/maps/place/Honey+Hi/data=!4m2!3m1!1s0x80c2c71c8684537b:0xb523875b4660f982,,
El Prado,,https://www.google.com/maps/place/El+Prado/data=!4m2!3m1!1s0x80c2c71b9399ec6b:0xdc3adb262a83c617,,
La Fe,,https://www.google.com/maps/place/La+Fe/data=!4m2!3m1!1s0x80c2c769f23e1811:0xa0dbc6713cf0b054,,
Ramona Room,,https://www.google.com/maps/place/Ramona+Room/data=!4m2!3m1!1s0x80c2c710a6262e13:0x85777f43cd7d367a,,
Donna's,,https://www.google.com/maps/place/Donna's/data=!4m2!3m1!1s0x80c2c7531e562187:0xcc12c49c534a5412,,
