Name,Neighborhood,Website,Instagram Handle
Komal Molino,South Central,,
Taqueria Frontera,Cypress Park,,
Holbox,Historic South Central,,
Sonoratown,Downtown,,
Mariscos Jalisco,Boyle Heights,,
Evil Cooks,El Sereno,,
Tire Shop Taqueria,South Central,,
Tacos Pasadita,Van Nuys,,
Ditroit,Arts District,,
Brothers Cousins,Sawtelle,,
Tacos El Toro,East Los Angeles,,
A Ti Los Angeles,Echo Park,,
Dunsmoor,Glassell Park,,
Mochomitos,Whittier,,
El Barrio Cantina,Long Beach,,
Villa's Seafood,Highland Park,,
Santa Cecilia Mexican Food,Boyle Heights,,
Taco Nazo,,,
Tacos La Carreta,Long Beach,,
Balam Mexican Kitchen,Lynwood,,
Cacao Mexicatessen,Eagle Rock,,
Tacos La Rueda,Bellflower,,
Tacos Arabes de Puebla,Boyle Heights,,
Tacos y Birria La Unica,Boyle Heights,,
Three Flames,Westchester,,
Tigres Fuego,Redondo Beach,,
Macheen,Boyle Heights,,
Birrieria Gonzalez,,,
Teddy's Red Tacos,Echo Park,,
Asadero Chikali,East Los Angeles,,
Simon L.A.,Silver Lake,,
Tacos Don Cuco,East Los Angeles,,
Tacos El Vampiro,Sylmar,,
Tacos Los Cholos,Huntington Park,,
Barbacoa Ramirez,Arleta,,
Tacos Estilo Guadalajara,Lynwood,,
Antojitos Los Cuates,Compton,,
Chulita,Venice,,
Carnitas Los Gabrieles,Downtown,,
Taqueria Juquilita,Hollywood,,
Tijuanazo,East Los Angeles,,
Tacos Tamix,Mid-City,,
Gracias Senor Taqueria,Pacific Palisades,,
Angel's Tijuana Tacos,,,
Los Cinco Puntos,Boyle Heights,,
Saby's,Mar Vista,,
Bar Ama's Takoria,Downtown,,
Tacos La Guera,,,
La Flor De Yucatan,Pico-Union,,
Razo's Tacos,North Hollywood,,
Mariscos Corona,Van Nuys,,
Borreguitas,Pomona,,
Sky's Tacos,Mid-City,,
Super Carne Asada Panchos,Maywood,,
Tacos Cinco y Diez,Mid-City,,
Arturo's Puffy Taco,Whittier,,
El Nuevo Pedimento,Whittier,,
Anajak Thai,Sherman Oaks,,
Tacos Lionydas,Long Beach,,
The Basket Taco,Whittier,,
Chuy's Tacos Dorados,Downtown,,
MidEast Tacos,Silver Lake,,
El Cocinero Restaurant,Van Nuys,,
Doomie's Next Mex,Hollywood,,
Not Yo Tacos,Leimert Park,,
La Purepecha,Santa Monica,,
Taqueria Vista Hermosa,Downtown,,
Tacos El Tijuanense,Northridge,,
Tacos Guelaguetza,West Hollywood,,
