name,category,tier,notes
Bestia,restaurant,1,Arts District Italian - perennial every-list staple
Bavel,restaurant,1,Arts District Middle Eastern - same owners as Bestia
Republique,restaurant,1,La Brea - Eater/LAT/Infatuation fixture
Gjelina,restaurant,1,Venice institution - Eater all-time 38
Osteria Mozza,restaurant,1,Michelin star - Nancy Silverton
Pizzeria Mozza,restaurant,1,Nancy Silverton pizza empire
Chi Spacca,restaurant,1,Nancy Silverton meat-focused
Jon & Vinny's,restaurant,1,Fairfax - massive editorial coverage
Holbox,restaurant,1,Mercado La Paloma - #1 on LA Times 101 2025
Langer's Delicatessen,restaurant,1,Iconic pastrami - Jonathan Gold Hall of Fame
Musso & Frank Grill,restaurant,1,Hollywood institution since 1919
Howlin' Ray's,restaurant,1,Hot chicken - huge editorial footprint
Somni,restaurant,2-michelin,3 Michelin stars - one of only two in LA
n/naka,restaurant,2-michelin,2 Michelin stars - kaiseki
Hayato,restaurant,2-michelin,2 Michelin stars - Japanese
Vespertine,restaurant,2-michelin,2 Michelin stars - Jordan Kahn
Mélisse,restaurant,2-michelin,2 Michelin stars - Santa Monica
Camphor,restaurant,2-michelin,1 Michelin star - Arts District French
Orsa & Winston,restaurant,2-michelin,1 Michelin star - Italian-Japanese DTLA
Restaurant Ki,restaurant,2-michelin,1 Michelin star - first Korean starred in LA (2025)
Mori Nozomi,restaurant,2-michelin,1 Michelin star - new 2025
Gucci Osteria da Massimo Bottura,restaurant,2-michelin,1 Michelin star - Beverly Hills
Q Sushi,restaurant,2-michelin,1 Michelin star - Edomae sushi
Citrin,restaurant,2-michelin,1 Michelin star - Santa Monica
Baby Bistro,restaurant,3-hot2025,Restaurant of the year contender - Echo Park
Rasarumah,restaurant,3-hot2025,Malaysian - new Michelin Bib Gourmand 2025
Kuya Lord,restaurant,3-hot2025,James Beard winner - Filipino
Berenjak,restaurant,3-hot2025,Persian from London - Arts District buzzy
Comedor,restaurant,3-hot2025,Ray Garcia comeback - Westside
88 Club,restaurant,3-hot2025,Mei Lin (Top Chef winner)
Tomat,restaurant,3-hot2025,Farm-to-table - Michelin recommended 2025
Alba Los Angeles,restaurant,3-hot2025,Italian open-air - West Hollywood
Vin Folk,wine bar,3-hot2025,New Michelin Bib Gourmand - natural wine
Betsy,restaurant,3-hot2025,Altadena hearth cooking - Tyler Wells comeback
Gjusta,restaurant,4-iconic,Venice bakery/deli - Gjelina family
Bub & Grandma's,restaurant,4-iconic,Pizza cult following
Jitlada,restaurant,4-iconic,Thai Town legend
Anajak Thai,restaurant,4-iconic,Sherman Oaks - massively acclaimed
Coni'Seafood,restaurant,4-iconic,Nayarit-style seafood - Inglewood
