Name,Instagram,Confidence,Method,Notes,GooglePlaceID,Latitude,Longitude,Address,Neighborhood,Phone,Website
88 pocha,88pocha,medium,ai,Korean drinking establishment chain,ChIJy_EHD461woARqGpoPsbyPsg,33.8886803,-118.3042648,"1610 W Redondo Beach Blvd #3, Gardena, CA 90247, USA",Gardena,(310) 768-8282,
888 Seafood Restaurant,888seafoodrestaurant,medium,ai,Chinese seafood restaurant,ChIJVca3ayfbwoARvTN4LEHGTxs,34.0799853,-118.0850167,"8450 E Valley Blvd, Rosemead, CA 91770, USA",Rosemead,(626) 573-1888,https://888seafoodrestaurant.com/
Abbot's Pizza Company,abbotspizza,high,ai,Well-known LA pizza chain,ChIJcaqDn7-6woARNn2eauKOKSc,33.9908125,-118.4655792,"1407 Abbot Kinney Blvd, Venice, CA 90291, USA",Venice,(310) 396-7334,http://www.abbotspizzaco.com/
Ackee Bamboo Jamaican Cuisine,ackeebamboo,medium,ai,Jamaican restaurant in LA,ChIJO4T2nCe4woAR0BRcELOWHt8,34.0361482,-118.3892216,"2835 S Robertson Blvd, Los Angeles, CA 90034, USA",Beverlywood,(310) 730-6148,http://www.ackeebamboo.com/
Agnes Restaurant & Cheesery,agnesrestaurant,medium,ai,Popular Pasadena restaurant,ChIJHX5Is3zDwoAR-tMO5OyIYZY,34.1442966,-118.151331,"40 W Green St, Pasadena, CA 91105, USA",South Arroyo,(626) 389-3839,https://www.agnesla.com/
Al & Bea's Mexican Food,alandbeas,medium,ai,Historic Mexican food establishment,ChIJmTx7eg_GwoARCLmjG4eA23A,34.0452073,-118.2140903,"2025 1st St, Los Angeles, CA 90033, USA",Central LA,(323) 267-8810,http://www.alandbeas.com/
AMMATOLI,ammatoli,medium,ai,Matches restaurant name and Long Beach location,ChIJSQHTE_sx3YARa1aBnTULuGE,33.7706935,-118.1897,"285 E 3rd St, Long Beach, CA 90802, USA",Downtown Core,(562) 435-0808,http://www.ammatoli.com/
Amour Weho,amourweho,high,ai,Clear match with WeHo branding,ChIJz-CCE6-_woARvS6Uz_1UgyA,34.07712,-118.381075,"8715 Beverly Blvd, West Hollywood, CA 90048, USA",Central LA,(424) 431-6717,https://amourweho.love/
Angry Egret Dinette,angryegretdinette,high,ai,Established downtown LA restaurant,ChIJ9z196HbHwoARPqdTjGQJ-4Y,34.0660812,-118.2358456,"970 N Broadway STE 114, Los Angeles, CA 90012, USA",Central LA,(213) 278-0987,http://angryegretdinette.com/
Atlantic Seafood and Dim Sum,atlanticseafooddimsum,medium,ai,Likely handle for Monterey Park location,ChIJQ8DLvEPFwoARd5wfbRi1UEg,34.0694168,-118.1336572,"500 N Atlantic Blvd suite 200, Monterey Park, CA 91754, USA",Monterey Park,(626) 872-0388,https://atlanticseafooddimsum.shop/
Au Fauna,aufauna,medium,ai,Matches restaurant name in Pasadena,ChIJHzYR2G7DwoARSjGzmwr9XUA,34.1457273,-118.1233562,"1308 E Colorado Blvd #4051, Pasadena, CA 91106, USA",Pasadena,,https://www.aufauna.com/
baby battista,babybattista,high,ai,Matches restaurant name pattern,ChIJzwlguwjBwoARR62_slYIMl4,34.1165044,-118.2630091,"3111 Glendale Blvd #2, Los Angeles, CA 90039, USA",Northeast Los Angeles,(323) 662-5556,https://nicosla.com/
Baja Cantina,bajacantina,medium,ai,Chain restaurant likely uses brand name,ChIJBym2lKK6woARa6L3E6wYRaY,33.9807676,-118.4645798,"311 Washington Blvd, Marina Del Rey, CA 90292, USA",Venice,(310) 821-2252,https://bajacantina.com/?utm_source=google&utm_medium=local&utm_campaign=gbp
Betsy,betsyaltadena,medium,ai,Likely uses location modifier,ChIJyROYYDXDwoARx_7TxDXZi6Q,34.1881455,-118.1316748,"875 E Mariposa St, Altadena, CA 91001, USA",Altadena,,https://betsyaltadena.com/
Bicyclette,bicyclettela,medium,ai,Common LA restaurant handle pattern,ChIJu5Y0uG67woARvE5Nmmmtv_0,34.055444,-118.3976346,"9575 W Pico Blvd, Los Angeles, CA 90035, USA",Pico-Robertson,(424) 500-9575,https://bicyclettela.com/
BiergartenLA - Koreatown,biergartenla,high,ai,Matches business name exactly,ChIJTadY5KK4woARkfH2Cf-o6Kc,34.0748411,-118.3088919,"206 N Western Ave, Los Angeles, CA 90004, USA",Koreatown,(323) 466-4860,https://biergartenla.com/
Billionaire Burger Boyz,billionaireburgerboyz,medium,ai,Likely matches business name pattern,ChIJ7_zXz6zLwoARqPUCbSpnAq4,34.0595841,-118.2399281,"635 N Broadway, Los Angeles, CA 90012, USA",Central LA,,http://www.billionaireburgerboyz.com/
Bon Temps,bontempsla,medium,ai,Common LA restaurant naming pattern,ChIJi-MAKFjHwoARol5fmX26Xdo,34.0339601,-118.2296678,"712 S Santa Fe Ave, Los Angeles, CA 90021, USA",Downtown Los Angeles,(213) 784-0044,
Bridgetown Roti,bridgetownroti,medium,ai,Matches business name pattern,ChIJne7Az-rHwoARQhCf1NoVpsY,34.0870006,-118.29152,"858 N Vermont Ave, Los Angeles, CA 90029, USA",East Hollywood,(747) 221-9026,http://www.bridgetownroti.com/
Broad Street Oyster Company,broadstreetoyster,medium,ai,Likely matches business name,ChIJA6M_-57HwoAR7WCXivxedIg,34.051052,-118.2493274,"317 S Broadway, Los Angeles, CA 90013, USA",Downtown Los Angeles,,http://www.broadstreetoyster.com/
Broken Spanish Comedor,brokenspanishcomedor,medium,ai,Part of Broken Spanish restaurant group,ChIJT5qhfGq7woARIoAJkiUAYAI,33.9970418,-118.4322833,"12565 Washington Blvd, Los Angeles, CA 90066, USA",Culver - West,(747) 946-7118,https://www.brokenspanishcomedor.com/
Broome St. General Store,broomestgeneral,medium,ai,Abbreviated version of business name,ChIJd_gMmc7AwoAR7nTNIiedNq8,34.1082215,-118.2685416,"2912 Rowena Ave, Los Angeles, CA 90039, USA",Silver Lake,(323) 570-0405,http://www.broomestgeneral.com/
5th Street,5thstreet,medium,pattern,Pattern-based (needs verification),ChIJtXNObTrGwoARYcpIBbkUuvw,34.0475207,-118.2498395,"5th St, Los Angeles, CA, USA",Central LA,,
A&J seafood shack,ajseafoodshack,medium,pattern,Pattern-based (needs verification),ChIJfc93S_sx3YARMFMzqKUVQ5s,33.7827341,-118.1544652,"3201 E Anaheim St, Long Beach, CA 90804, USA",Eastside,(562) 386-2000,http://ajseafoodshack.com/
Al-Noor Indian Pakistani Halal,alnoorindianpakistanihalal,medium,pattern,Pattern-based (needs verification),ChIJAQwReke0woARYAIAJsMoI-g,33.894194,-118.360963,"15112 S Inglewood Ave, Lawndale, CA 90260, USA",Lawndale,(310) 675-4700,http://www.alnoor-restaurant.net/
Alan Wong's Honolulu,alanwongshonolulu,medium,pattern,Pattern-based (needs verification),ChIJd6nRF5NtAHwRpwT4MbZic1c,21.2951573,-157.831757,"1857 S King St, Honolulu, HI 96826, USA",McCully - Moiliili,(808) 949-2526,https://www.alanwongs.com/
Annette Street,annettestreet,medium,pattern,Pattern-based (needs verification),ChIJ6ZgTV7fGwoARNdB3DYX-CYA,34.1037577,-118.2241161,"Annette St, Los Angeles, CA 90065, USA",Mount Washington,,
As de Guia Gastrofonda,asdeguiagastrofonda,medium,pattern,Pattern-based (needs verification),ChIJ8-FrzdST2IAReOO3epZ7QKU,31.8675042,-116.6268415,"calle 4 numero 341, entre Ruiz y, Av. Álvaro Obregón, Zona Centro, 22800 Ensenada, B.C., Mexico",Zona Centro,646 206 7226,
Aunty Maile's Hawaiian Restaurant,auntymaileshawaiian,medium,pattern,Pattern-based (needs verification),ChIJI-IfThnLwoAReCE-R9Y3Rdw,33.8566492,-118.2986993,"19106 Normandie Ave Ste 2, Torrance, CA 90502, USA",Harbor,(310) 819-8314,https://auntymailes808.com/
Azay,azay,medium,pattern,Pattern-based (needs verification),ChIJUYrvvHDHwoARB1japW6bsvo,34.0508303,-118.2418248,"226 1st St, Los Angeles, CA 90012, USA",Downtown Los Angeles,(213) 628-3431,http://www.azaylittletokyo.com/
1200 Rosecrans Ave #101,,manual_review,none,Could not find handle automatically,ChIJWxHnpvizwoAR3cVIiAUBFbk,33.9016333,-118.3931357,"1200 Rosecrans Ave #101, Manhattan Beach, CA 90266, USA",Manhattan Beach,,
12249 Venice Blvd.,,manual_review,none,Could not find handle automatically,ChIJH1oLbVy6woARmKoEisoy-ao,34.004684,-118.4322145,"12249 Venice Blvd., Los Angeles, CA 90066, USA",Mar Vista,,
1642,,manual_review,none,Could not find handle automatically,ChIJtfpJdgbHwoARMPA3laMKsAI,34.068251,-118.2623667,"1642 W Temple St, Los Angeles, CA 90026, USA",Westlake,(213) 989-6836,https://www.1642bar.com/
1850 Academy Rd,,manual_review,none,Could not find handle automatically,EisxODUwIEFjYWRlbXkgUmQsIExvcyBBbmdlbGVzLCBDQSA5MDAxMiwgVVNBIjESLwoUChIJ7f2w2OTGwoARbQuZneCHIXcQug4qFAoSCSn2YFnlxsKAEflWfACFCVhC,34.0789992,-118.2439823,"1850 Academy Rd, Los Angeles, CA 90012, USA",Elysian Park,,
2425 Daly St,,manual_review,none,Could not find handle automatically,ChIJ3Uy9Zn3GwoAR1S0GNCqzN3Y,34.0745015,-118.2157934,"2425 Daly St, Los Angeles, CA 90031, USA",Lincoln Heights,,
2633 E Cesar E Chavez Ave,,manual_review,none,Could not find handle automatically,ChIJh_9_FP3FwoARxXM2voNmsxw,34.0454071,-118.2042116,"2633 E Cesar E Chavez Ave, Los Angeles, CA 90033, USA",Central LA,,
3214 Glendale Blvd,,manual_review,none,Could not find handle automatically,ChIJG0M8stvAwoARQ3pnsmVuaVs,34.1177795,-118.2606249,"3214 Glendale Blvd, Los Angeles, CA 90039, USA",Northeast Los Angeles,,
3250 W Olympic Blvd,,manual_review,none,Could not find handle automatically,ChIJdW3Og4e4woAR5D8mKi4vyUs,34.0522795,-118.3083861,"3250 W Olympic Blvd, Los Angeles, CA 90006, USA",Central LA,,
5150 Hollywood Blvd,,manual_review,none,Could not find handle automatically,ChIJO5-D_Fa_woAR9lhITdRE2bw,34.1015809,-118.3023957,"5150 Hollywood Blvd, Los Angeles, CA 90027, USA",East Hollywood,,
5200 Monte Vista St,,manual_review,none,Could not find handle automatically,ChIJ16VZuxzEwoAR1kpz_PQx_vE,34.1084142,-118.2008402,"5200 Monte Vista St, Los Angeles, CA 90042, USA",Highland Park,,
715,,manual_review,none,Could not find handle automatically,ChIJyweGFPLHwoAR2CIY63KgPqU,34.0454637,-118.2367476,"738 E 3rd St, Los Angeles, CA 90013, USA",Downtown Los Angeles,(213) 547-0459,http://715sushi.com/
718 Highland Ave,,manual_review,none,Could not find handle automatically,ChIJX81bPNO4woARJlGl91N_jRI,34.0842081,-118.3381817,"718 Highland Ave, Los Angeles, CA 90038, USA",Central LA,,
