Name,Neighborhood,Category,Address,GooglePlaceID
"1200 Rosecrans Ave #101","Manhattan Beach","eat","",ChIJWxHnpvizwoAR3cVIiAUBFbk
"1200 Rosecrans Ave #101","","","",ChIJWxHnpvizwoAR3cVIiAUBFbk
"12249 Venice Blvd.","Mar Vista","eat","",ChIJH1oLbVy6woARmKoEisoy-ao
"1642","","","",ChIJtfpJdgbHwoARMPA3laMKsAI
"1642","Westlake","Wine Bar","",ChIJtfpJdgbHwoARMPA3laMKsAI
"1850 Academy Rd","Elysian Park","eat","",EisxODUwIEFjYWRlbXkgUmQsIExvcyBBbmdlbGVzLCBDQSA5MDAxMiwgVVNBIjESLwoUChIJ7f2w2OTGwoARbQuZneCHIXcQug4qFAoSCSn2YFnlxsKAEflWfACFCVhC
"1850 Academy Rd","","","",EisxODUwIEFjYWRlbXkgUmQsIExvcyBBbmdlbGVzLCBDQSA5MDAxMiwgVVNBIjESLwoUChIJ7f2w2OTGwoARbQuZneCHIXcQug4qFAoSCSn2YFnlxsKAEflWfACFCVhC
"2425 Daly St","Lincoln Heights","eat","",ChIJ3Uy9Zn3GwoAR1S0GNCqzN3Y
"2425 Daly St","","","",ChIJ3Uy9Zn3GwoAR1S0GNCqzN3Y
"2633 E Cesar E Chavez Ave","","","",ChIJh_9_FP3FwoARxXM2voNmsxw
"2633 E Cesar E Chavez Ave","Central LA","eat","",ChIJh_9_FP3FwoARxXM2voNmsxw
"3214 Glendale Blvd","Northeast Los Angeles","eat","",ChIJG0M8stvAwoARQ3pnsmVuaVs
"3214 Glendale Blvd","","","",ChIJG0M8stvAwoARQ3pnsmVuaVs
"3250 W Olympic Blvd","Central LA","eat","",ChIJdW3Og4e4woAR5D8mKi4vyUs
"3250 W Olympic Blvd","","","",ChIJdW3Og4e4woAR5D8mKi4vyUs
"5150 Hollywood Blvd","East Hollywood","eat","",ChIJO5-D_Fa_woAR9lhITdRE2bw
"5150 Hollywood Blvd","","","",ChIJO5-D_Fa_woAR9lhITdRE2bw
"5200 Monte Vista St","","","",ChIJ16VZuxzEwoAR1kpz_PQx_vE
"5200 Monte Vista St","Highland Park","eat","",ChIJ16VZuxzEwoAR1kpz_PQx_vE
"5th Street","Central LA","eat","",ChIJtXNObTrGwoARYcpIBbkUuvw
"715","Downtown Los Angeles","eat","",ChIJyweGFPLHwoAR2CIY63KgPqU
"715","","","",ChIJyweGFPLHwoAR2CIY63KgPqU
"718 Highland Ave","Central LA","eat","",ChIJX81bPNO4woARJlGl91N_jRI
"718 Highland Ave","","","",ChIJX81bPNO4woARJlGl91N_jRI
"88 pocha","Gardena","eat","",ChIJy_EHD461woARqGpoPsbyPsg
"888 Seafood Restaurant","Rosemead","eat","",ChIJVca3ayfbwoARvTN4LEHGTxs
"A&J seafood shack","Eastside","eat","",ChIJfc93S_sx3YARMFMzqKUVQ5s
"Abbot's Pizza Company","Venice","eat","",ChIJcaqDn7-6woARNn2eauKOKSc
"Ackee Bamboo Jamaican Cuisine","Beverlywood","eat","",ChIJO4T2nCe4woAR0BRcELOWHt8
"Agnes Restaurant & Cheesery","South Arroyo","eat","",ChIJHX5Is3zDwoAR-tMO5OyIYZY
"Al & Bea's Mexican Food","Central LA","eat","",ChIJmTx7eg_GwoARCLmjG4eA23A
"Al-Noor Indian Pakistani Halal","Lawndale","eat","",ChIJAQwReke0woARYAIAJsMoI-g
"Amour Weho","Central LA","eat","",ChIJz-CCE6-_woARvS6Uz_1UgyA
"Angry Egret Dinette","Central LA","eat","",ChIJ9z196HbHwoARPqdTjGQJ-4Y
"Annette Street","Mount Washington","eat","",ChIJ6ZgTV7fGwoARNdB3DYX-CYA
"As de Guia Gastrofonda","Zona Centro","eat","",ChIJ8-FrzdST2IAReOO3epZ7QKU
"Atlantic Seafood and Dim Sum","Monterey Park","eat","",ChIJQ8DLvEPFwoARd5wfbRi1UEg
"Au Fauna","Pasadena","eat","",ChIJHzYR2G7DwoARSjGzmwr9XUA
