Name,status,reject_reason,reject_message
Andrew’s Cheese Shop,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
The Cheese Store of Beverly Hills,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
DTLA Cheese Superette,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Milkfarm,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Monsieur Marcel,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Kustaa Cheese & Wine,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
"Larchmont Village Wine, Spirits & Cheese",active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
A Cut Above Butcher Shop,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
McCall’s Meat & Fish Co.,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Vicente Foods,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Bay Cities Italian Deli & Bakery,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
The Gourmet Animal,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Eagle Rock Italian Bakery & Deli,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Buvon’s Restaurant (Santa Monica),active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Voodoo Vin,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Café Triste LA,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Stir Crazy LA,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Mirabelle Wine Bar,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Del Re Wine Bar,permanently_closed,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Pop’s Bagels,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Layla Bagels,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Courage Bagels,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Belle’s Bagels,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Wake & Late,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Calic Bagel,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Mustard’s Bagels,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Boichik Bagels,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Western Bagel,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
Surfas Culinary District,active,NO_GOOGLE_PLACE_ID,"No identity anchor: missing GooglePlaceID, GoogleMapsURL, and Address"
