Name,Address,City,Neighborhood,Category,Description
King Taco,4504 E 3rd St,East LA,Boyle Heights,Mexican Tacos,Legendary hard shell tacos since 1974
Tacos El Gavilan,5100 E Whittier Blvd,East LA,Boyle Heights,Mexican Tacos,Massive al pastor trompo draws long lines
El Tepeyac Cafe,812 N Evergreen Ave,East LA,Boyle Heights,Mexican,Famous for enormous burritos and chilaquiles
Mariscos Jalisco,3040 E Olympic Blvd,East LA,Boyle Heights,Mexican Seafood,Legendary shrimp tacos dorados from truck
La Serenata de Garibaldi,1842 E 1st St,East LA,Boyle Heights,Mexican Seafood,Upscale Oaxacan mole and fresh seafood
Carnitas El Momo,4626 E Cesar E Chavez Ave,East LA,Boyle Heights,Mexican Carnitas,Crispy carnitas perfection every weekend
Birrieria y Tacos Aaron,5647 Whittier Blvd,East LA,Boyle Heights,Mexican Birria,Consommé-dipped tacos and rich goat stew
Pupuseria Dona Maria,3323 E 1st St,East LA,Boyle Heights,Salvadoran,Handmade pupusas with tangy curtido slaw
Los Cinco Puntos,3300 E Cesar E Chavez Ave,East LA,Boyle Heights,Mexican,All-night institution for menudo and tacos
Guisados,2100 E Cesar E Chavez Ave,East LA,Boyle Heights,Mexican,House-made tortillas with braised meat stews
El Parian,434 S Atlantic Blvd,East LA,Monterey Park,Mexican,24-hour spot for late-night tacos
Tacos Mexico,11462 Washington Blvd,Whittier,Whittier,Mexican Tacos,Family-run taqueria with handmade tortillas
Pupuseria Salvadorena,12510 Whittier Blvd,Whittier,Whittier,Salvadoran,Authentic Salvadoran pupusas and tamales
La Parrilla,7304 Greenleaf Ave,Whittier,Whittier,Mexican Grill,Mesquite-grilled meats and fresh salsas
Birrieria Guadalajara,8706 Whittier Blvd,Pico Rivera,Pico Rivera,Mexican Birria,Traditional Jalisco-style birria and consommé
El Rinconcito Guatemalteco,6401 Whittier Blvd,East LA,Commerce,Guatemalan,Pepian stew and handmade Guatemalan specialties
Tacos Los Compadres,8528 Firestone Blvd,Downey,Downey,Mexican Tacos,Late-night truck with perfect carne asada
Carnitas Uruapan,8445 Florence Ave,Downey,Downey,Mexican Carnitas,Michoacan-style carnitas cooked in copper pots
El Pollo Inka,8405 Firestone Blvd,Downey,Downey,Peruvian,Rotisserie chicken with aji verde sauce
Tacos Don Goyo,7871 Firestone Blvd,Downey,Downey,Mexican Tacos,Hidden gem for al pastor tacos
Pupuseria La Bendicion,8012 Firestone Blvd,Downey,Downey,Salvadoran,Cheese-filled pupusas and horchata de morro
La Playita Mariscos,7932 Firestone Blvd,Downey,Downey,Mexican Seafood,Fresh ceviches and seafood cocktails
El Super Taco,8726 Imperial Hwy,Downey,Downey,Mexican Tacos,No-frills spot for authentic street tacos
Langer's Deli,704 S Alvarado St,Westlake,Westlake,Jewish Deli,World-famous pastrami on fresh rye bread
Taco Nazo,4955 Whittier Blvd,East LA,Commerce,Mexican Tacos,Crispy rolled tacos with guacamole
Antojitos Carmen,2832 Whittier Blvd,East LA,Boyle Heights,Mexican Antojitos,Sopes and quesadillas made to order
El Pavo Real,1001 N Montebello Blvd,Montebello,Montebello,Mexican,Family recipes spanning three generations
Birrieria La Guadalajara,2009 W Whittier Blvd,Montebello,Montebello,Mexican Birria,Weekend-only birria worth the wait
Tacos El Korita,725 S Montebello Blvd,Montebello,Montebello,Mexican Tacos,Breakfast burritos and morning tacos
Pupuseria Salvadoreña Mary,1944 W Beverly Blvd,Montebello,Montebello,Salvadoran,Thick pupusas with generous cheese filling
El Charro,2511 W Whittier Blvd,Montebello,Montebello,Mexican,Old-school Mexican-American comfort food
Carnitas Las Flores,2045 W Olympic Blvd,Montebello,Montebello,Mexican Carnitas,Whole pig carnitas on weekends only
La Casita Mexicana,4030 Gage Ave,Bell,Bell,Mexican,Upscale regional Mexican in cozy setting
Mariscos Chente,6105 Florence Ave,Bell Gardens,Bell Gardens,Mexican Seafood,Truck serving excellent fish tacos
Taco Zone,8100 Eastern Ave,Bell Gardens,Bell Gardens,Mexican Tacos,24-hour taco shop for late cravings
Pupuseria Izalco,6214 Florence Ave,Bell Gardens,Bell Gardens,Salvadoran,El Salvador comfort food and fresh juices
Birrieria Don Boni,7901 Eastern Ave,Bell Gardens,Bell Gardens,Mexican Birria,Tender goat birria with rich broth
El Sazon Oaxaqueño,5961 Florence Ave,Bell Gardens,Bell Gardens,Oaxacan,Authentic moles and Oaxacan specialties
Tacos El Unico,7324 Pacific Blvd,Huntington Park,Huntington Park,Mexican Tacos,Massive portions and perfect seasoning
La Flor de Yucatan,7040 Pacific Blvd,Huntington Park,Huntington Park,Yucatecan,Cochinita pibil and Yucatecan specialties
El Gallo Giro,multiple locations,Various,Various,Peruvian,Rotisserie chicken with spicy aji sauces
Tacos El Venado,11819 Paramount Blvd,Downey,Downey,Mexican Tacos,Deer-themed taqueria with excellent pastor
Pupuseria Familiar,11627 Paramount Blvd,Downey,Downey,Salvadoran,Family-style Salvadoran with generous portions
Carnitas El Rey,9540 Imperial Hwy,Downey,Downey,Mexican Carnitas,Crispy carnitas with handmade tortillas
Mariscos Puerto Nuevo,8819 Imperial Hwy,Downey,Downey,Mexican Seafood,Baja-style lobster and fresh seafood
La Siesta,11500 Paramount Blvd,Downey,Downey,Mexican,Breakfast spot famous for menudo
Tacos Los Güeros,12840 Woodruff Ave,Downey,Downey,Mexican Tacos,Blonde-haired family's excellent taco truck
Antojitos Guatemaltecos,11956 Paramount Blvd,Downey,Downey,Guatemalan,Tamales colorados and Guatemalan tamales
El Atacor,11032 Paramount Blvd,Downey,Downey,Mexican,Traditional Mexican with weekend specials
Birrieria El Jaliciense,11424 Firestone Blvd,Norwalk,Norwalk,Mexican Birria,Jalisco-style birria in strip mall
Tacos El Poblano,11951 Imperial Hwy,Norwalk,Norwalk,Mexican Tacos,Poblano-style tacos and thick salsas
Pupuseria La Familiar,12054 Alondra Blvd,Norwalk,Norwalk,Salvadoran,Cheese pupusas and fresh horchata
El Taco Loco,11422 Firestone Blvd,Norwalk,Norwalk,Mexican Tacos,Crazy good tacos at unbeatable prices
Mariscos El Mazatleco,12016 Imperial Hwy,Norwalk,Norwalk,Mexican Seafood,Sinaloa-style seafood and aguachiles
La Cocina de Doña Rosa,11839 Alondra Blvd,Norwalk,Norwalk,Mexican,Home-style Mexican cooking like abuela's
Carnitas Don Jose,12847 Pioneer Blvd,Norwalk,Norwalk,Mexican Carnitas,Weekend carnitas with fresh chicharrones
Antojitos Poblanos,12456 Pioneer Blvd,Norwalk,Norwalk,Mexican Antojitos,Puebla-style cemitas and street snacks
El Tepeyac #2,11940 Firestone Blvd,Norwalk,Norwalk,Mexican,Sister location with same massive portions
Tacos Don Carlos,4500 Tweedy Blvd,South Gate,South Gate,Mexican Tacos,Charcoal-grilled meats and fresh tortillas
