slug,name
unknown-c6ce5980,Abigail Ogilvy Gallery
unknown-95351632,Antojitos Carmen
unknown-e79785cb,Antojitos Chapines Restaurante Guatemalteco
unknown-0906f6ad,Bacari Silverlake
unknown-3d06dfd9,Bar Siesta
unknown-b0dea8ff,Birria El Jaliciense
unknown-4caa1955,Birrieria Don Boni
unknown-8ac9feb1,Bludso's BBQ
unknown-8d7f0ba0,Blue Moon venues
unknown-06e7039a,Bowery Bungalow
unknown-2e1b58d6,Carnitas Uruapan
unknown-5bea2e91,Crawfords
unknown-32b6f8ea,Dave & Buster's Los Angeles - Hollywood
unknown-51c41390,Din Tai Fung 鼎泰豐
unknown-82807087,Dog Haus
dr-rainier-a-manzanilla-md,Dr. Rainier A. Manzanilla, MD
unknown-89075617,Eggslut
unknown-06bd1961,El Atacor#1
unknown-83506d44,El Charro Restaurant
unknown-c1a035ec,El Gallo Giro
unknown-353d3d83,El Parian Restaurant
unknown-d4ef06ff,El Rincón Guatemalteco de Doña Carmen
unknown-a4edeab6,El Super Taco
unknown-ada8cbb6,Good Stuff Burgers
unknown-79d136ef,Guisados
unknown-2a700970,Gyu-Kaku Japanese BBQ
unknown-28797c3a,Habit Burger & Grill
unknown-6382a3ff,HiHo Cheeseburger
unknown-ad07ec26,Holy Grounds Coffee and Tea
unknown-a28e303b,In-N-Out Burger
unknown-526f85ae,Jun Won Dak IG @junwon_la
unknown-6c3102d0,Katsuya
unknown-ac5c019b,King Taco # 2
unknown-f7da2730,La Flor De Yucatan Bakery
unknown-33a321a6,La Nena Cantina
unknown-0686b814,La Parrilla Restaurant
unknown-92fbcfa9,La Popular Hollywood
unknown-7d2eb333,La Pupusa Urban Eatery
unknown-8bbc9828,La Serenata Cantina
unknown-da7f1b4f,Lodge Bread Company
unknown-3596cb7a,Los 5 Puntos
unknown-4e1a416f,Los Angeles Fish Co
unknown-0cc12129,Manila Inasal
unknown-9a86944a,McConnell's Fine Ice Creams - GCM
unknown-3c566a87,Mel's Fish Shack
d-corazon-mexican-restaurant,Mi Corazon Mexican Cuisine
unknown-08d66bc2,NO NAME
unknown-43d79ae9,Pavo Real Jewelry Plaza
unknown-49037940,Pitfire Pizza
unknown-242b54e5,Playita Mariscos
shangri-la-rick-rubin-s-recording-studio,Polaris Media Lab
post-and-beam-south-los-angeles,Post+Beam
unknown-32966686,Puerto Nuevo Coffee
unknown-bd8a6afb,Pupuseria la Bendición
rhythm-room-l-a,Rhythm Room L.A.
noble-riot,Riot Games Inc.
unknown-e21b7184,Rock & Brews
unknown-6ad4b94f,Salt & Straw
unknown-31727a23,Shabuya Los Angeles
sonido-del-valle,Sonido Del Valle
south-la-cafe-south-los-angeles-2,South LA Cafe
south-la-cafe-south-los-angeles,South LA Cafe
spartina,Spartina
stereoscope-coffee,Stereoscope Coffee
unknown-82bd6f42,Stories
unknown-40f392c7,SUGARFISH by sushi nozawa
sushi-ike,Sushi Ike
sushi-n-matcha-sho,Sushi n Matcha Sho
swift-cafe-south-los-angeles,Swift Cafe
tabula-rasa,Tabula Rasa Bar
unknown-f9c1610e,Taco Zone Truck
unknown-bbc052c1,tacos El Korita
unknown-3001fd44,Tacos El Unico
unknown-afce21f2,Tacos Gavilan
unknown-52574c14,Tacos Los Gueros LA
tacos-los-guichos,Tacos Los Guichos
tacos-estilo-df,Tacos Los Poblanos #1 Estilo Tijuana
unknown-8fa1bc36,Tacos Mexico
tacos-tamix-truck-3,Tacos Tamix Mexican food truck
unknown-9a1a3f88,Tacos y Birria La Unica
tams-burger,Tam's Burger
tams-burger-south-los-angeles,Tam's Burgers
tacos-tamix-truck-1,Tamix Mexican food truck
taqueria-vista-hermosa,Taqueria Vista Hermosa
tavernetta,TAVERNA at The Mar Vista
magokoro-del-valle,Tesoro Del Valle
unknown-89d38f9f,The Arsenal
the-bazaar-by-jos-andr-s,The Bazaar by Jose Andres
beckon-five-points,The Beacon
the-belasco,The Belasco
the-framing-house-design,The Framing House Design
the-living-room,The Living Room
the-living-room-south-los-angeles,The Living Room DTLA
unknown-3ca79fa8,The Mermaid
the-original-rinaldi-s-deli-cafe,The Original Rinaldi's Deli and Cafe
the-red-lion-tavern,The Red Lion Tavern
the-rooster,The Rooster
with-others,The Way We Wore
ucla-mildred-e-mathias-botanical-garden,UCLA Mathias Botanical Garden
unknown-d35f6509,Vince's Market
unknown-0c7803d4,Vincenti Ristorante
unknown-e937a314,Wahoo's
55831-ca-62,West 62nd Street
wilson-harding-driving-range,Wilson Harding Driving Range
unknown-c9c57f88,Yard House
unknown-e5fd928f,ZAZU BEAUTY SALON

--- Summary ---
Total uncovered places: 106
Total LA places: 434
Coverage: 328/434 (76%)
