place,known_for_candidate,confidence,signals
n/naka,,0.00,
Hayato,,0.00,
Kato,,0.00,
Providence,,0.00,
Bavel,,0.00,
Jitlada,,0.00,
Soban,,0.00,
Holbox,,0.00,
Baroo,,0.00,
Osteria Mozza,,0.00,
Chi Spacca,,0.00,
République,,0.00,
Restaurant Ki,,0.00,
Tacos Los Cholos,tacos,0.14,taco_keyword
Mariscos Jalisco,mariscos,0.43,item_in_name
Sushi Kaneyoshi,,0.00,
Leo’s Taco Truck,tacos,0.14,taco_keyword
Camphor,,0.00,
Sushi Sonagi,,0.00,
Funke,,0.00,
Pizzeria Sei,,0.00,
Tomat,,0.00,
Kuya Lord,,0.00,
Petit Trois,,0.00,
Dulan’s Soul Food Kitchen,,0.00,
Dunsmoor,,0.00,
Azizam,,0.00,
Yang’s Kitchen,,0.00,
Park’s BBQ,,0.00,
Luv2eat Thai Bistro,,0.00,
Mini Kabob,,0.00,
Bistro Na's,,0.00,
Sushi Gen,,0.00,
Henry’s Cuisine,,0.00,
Anajak Thai,,0.00,
Camélia,,0.00,
Chengdu Taste,,0.00,
RVR,,0.00,
Guelaguetza,,0.00,
Langer’s Deli,,0.00,
